error	steps
63033.0	0.0
61898.0	1.0
60268.0	2.0
57217.0	3.0
56916.0	4.0
53169.0	5.0
51919.0	6.0
50975.0	7.0
50366.0	8.0
50247.0	9.0
49892.0	10.0
49888.0	11.0
49265.0	12.0
49194.0	13.0
48912.0	14.0
48519.0	15.0
48413.0	16.0
48166.0	17.0
48144.0	18.0
48090.0	19.0
47599.0	20.0
47337.0	21.0
47184.0	22.0
46730.0	23.0
46405.0	24.0
46349.0	25.0
46166.0	26.0
45707.0	27.0
45507.0	28.0
45507.0	29.0
45397.0	30.0
45397.0	31.0
45335.0	32.0
45301.0	33.0
45301.0	34.0
45285.0	35.0
45078.0	36.0
45078.0	37.0
45078.0	38.0
45012.0	39.0
45012.0	40.0
45012.0	41.0
44979.0	42.0
44979.0	43.0
44979.0	44.0
44979.0	45.0
44879.0	46.0
44879.0	47.0
44879.0	48.0
44879.0	49.0
44871.0	50.0
44801.0	51.0
44801.0	52.0
44801.0	53.0
44801.0	54.0
44801.0	55.0
44801.0	56.0
44801.0	57.0
44801.0	58.0
44801.0	59.0
44801.0	60.0
44781.0	61.0
44781.0	62.0
44781.0	63.0
44781.0	64.0
44781.0	65.0
44781.0	66.0
44781.0	67.0
44781.0	68.0
44736.0	69.0
44736.0	70.0
44720.0	71.0
44720.0	72.0
44720.0	73.0
44720.0	74.0
44720.0	75.0
44720.0	76.0
44720.0	77.0
44720.0	78.0
44720.0	79.0
44720.0	80.0
44720.0	81.0
44720.0	82.0
44720.0	83.0
44720.0	84.0
44720.0	85.0
44714.0	86.0
44714.0	87.0
44714.0	88.0
44714.0	89.0
44714.0	90.0
44714.0	91.0
44714.0	92.0
44714.0	93.0
44714.0	94.0
44714.0	95.0
44714.0	96.0
44714.0	97.0
44714.0	98.0
44714.0	99.0
44714.0	100.0
44714.0	101.0
44714.0	102.0
44714.0	103.0
44714.0	104.0
44714.0	105.0
44714.0	106.0
44714.0	107.0
44714.0	108.0
44714.0	109.0
44714.0	110.0
44714.0	111.0
44714.0	112.0
44714.0	113.0
44714.0	114.0
44714.0	115.0
44714.0	116.0
44714.0	117.0
44714.0	118.0
44714.0	119.0
44714.0	120.0
44714.0	121.0
44714.0	122.0
44714.0	123.0
44714.0	124.0
44714.0	125.0
44714.0	126.0
44714.0	127.0
44714.0	128.0
44714.0	129.0
44714.0	130.0
44714.0	131.0
44714.0	132.0
44714.0	133.0
44714.0	134.0
44714.0	135.0
44714.0	136.0
44714.0	137.0
44714.0	138.0
44714.0	139.0
44714.0	140.0
44714.0	141.0
44714.0	142.0
44714.0	143.0
44714.0	144.0
44714.0	145.0
44714.0	146.0
