error	steps
681442.0	0.0
667301.0	1.0
648138.0	2.0
644174.0	3.0
639405.0	4.0
633741.0	5.0
632866.0	6.0
626026.0	7.0
609236.0	8.0
604012.0	9.0
598085.0	10.0
590195.0	11.0
581372.0	12.0
571483.0	13.0
569581.0	14.0
564121.0	15.0
561506.0	16.0
557989.0	17.0
549634.0	18.0
541288.0	19.0
535964.0	20.0
530416.0	21.0
528340.0	22.0
526791.0	23.0
519009.0	24.0
513136.0	25.0
502855.0	26.0
500322.0	27.0
498135.0	28.0
496910.0	29.0
492945.0	30.0
486126.0	31.0
484046.0	32.0
484036.0	33.0
482007.0	34.0
481581.0	35.0
478672.0	36.0
476416.0	37.0
475057.0	38.0
473076.0	39.0
472646.0	40.0
470727.0	41.0
466791.0	42.0
461703.0	43.0
461070.0	44.0
458319.0	45.0
457760.0	46.0
454420.0	47.0
453569.0	48.0
448128.0	49.0
442779.0	50.0
442649.0	51.0
442649.0	52.0
441629.0	53.0
440231.0	54.0
440231.0	55.0
440231.0	56.0
440231.0	57.0
438617.0	58.0
437409.0	59.0
437409.0	60.0
437409.0	61.0
437409.0	62.0
437234.0	63.0
437234.0	64.0
436824.0	65.0
435481.0	66.0
434228.0	67.0
434228.0	68.0
434228.0	69.0
432742.0	70.0
431850.0	71.0
430243.0	72.0
429940.0	73.0
428258.0	74.0
428117.0	75.0
427546.0	76.0
427153.0	77.0
427153.0	78.0
426546.0	79.0
426546.0	80.0
426261.0	81.0
424768.0	82.0
423689.0	83.0
423689.0	84.0
423316.0	85.0
423316.0	86.0
423316.0	87.0
423316.0	88.0
423316.0	89.0
423037.0	90.0
423037.0	91.0
423037.0	92.0
423037.0	93.0
423037.0	94.0
423037.0	95.0
423037.0	96.0
423034.0	97.0
421234.0	98.0
421051.0	99.0
421051.0	100.0
421051.0	101.0
421051.0	102.0
421051.0	103.0
420455.0	104.0
420455.0	105.0
420455.0	106.0
420455.0	107.0
420455.0	108.0
420455.0	109.0
420455.0	110.0
