error	steps
13295647.0	0.0
12476837.0	1.0
12066408.0	2.0
11407228.0	3.0
10936998.0	4.0
10759954.0	5.0
10408864.0	6.0
10374702.0	7.0
9857804.0	8.0
9773594.0	9.0
9773594.0	10.0
9448712.0	11.0
9092622.0	12.0
9027652.0	13.0
8349169.0	14.0
8349169.0	15.0
8349169.0	16.0
8251169.0	17.0
8251169.0	18.0
8251169.0	19.0
8244548.0	20.0
8244548.0	21.0
8244548.0	22.0
8244548.0	23.0
8235613.0	24.0
7901898.0	25.0
7901898.0	26.0
7823107.0	27.0
7780749.0	28.0
7669399.0	29.0
7603836.0	30.0
7597434.0	31.0
7597434.0	32.0
7597434.0	33.0
7572382.0	34.0
7389363.0	35.0
7224453.0	36.0
7224453.0	37.0
7224453.0	38.0
7137304.0	39.0
7128338.0	40.0
7128338.0	41.0
7128338.0	42.0
7128338.0	43.0
7128338.0	44.0
7086768.0	45.0
7086768.0	46.0
7086768.0	47.0
6903966.0	48.0
6847005.0	49.0
6847005.0	50.0
6826559.0	51.0
6826559.0	52.0
6826559.0	53.0
6826559.0	54.0
6826559.0	55.0
6826559.0	56.0
6826559.0	57.0
6826559.0	58.0
6826559.0	59.0
6826559.0	60.0
6820984.0	61.0
6820984.0	62.0
6820984.0	63.0
6820984.0	64.0
6820984.0	65.0
6820984.0	66.0
6820984.0	67.0
6820984.0	68.0
6820984.0	69.0
6820984.0	70.0
6820984.0	71.0
6816972.0	72.0
6810150.0	73.0
6810150.0	74.0
6810150.0	75.0
6810150.0	76.0
6810150.0	77.0
6810150.0	78.0
6790026.0	79.0
6790026.0	80.0
6790026.0	81.0
6756868.0	82.0
6756868.0	83.0
6756868.0	84.0
6756868.0	85.0
6756868.0	86.0
6756868.0	87.0
6756868.0	88.0
6756868.0	89.0
6756868.0	90.0
6756868.0	91.0
6756868.0	92.0
6756868.0	93.0
6756868.0	94.0
6756868.0	95.0
6756868.0	96.0
6751522.0	97.0
6751522.0	98.0
6751522.0	99.0
6751522.0	100.0
6751522.0	101.0
6751522.0	102.0
6751522.0	103.0
6751522.0	104.0
6751522.0	105.0
6751522.0	106.0
6751522.0	107.0
6751522.0	108.0
6751522.0	109.0
6751522.0	110.0
6751522.0	111.0
6751522.0	112.0
6751522.0	113.0
6751522.0	114.0
6751522.0	115.0
6751522.0	116.0
6751522.0	117.0
6751522.0	118.0
6751522.0	119.0
6751522.0	120.0
6751522.0	121.0
6751522.0	122.0
6751522.0	123.0
6751522.0	124.0
6751522.0	125.0
6751522.0	126.0
6751522.0	127.0
6751522.0	128.0
6751522.0	129.0
6751522.0	130.0
6751522.0	131.0
6751522.0	132.0
6751522.0	133.0
6751522.0	134.0
6751522.0	135.0
6751522.0	136.0
6751522.0	137.0
6751522.0	138.0
6751522.0	139.0
6751522.0	140.0
6751522.0	141.0
6751522.0	142.0
6751522.0	143.0
6751522.0	144.0
6751522.0	145.0
6751522.0	146.0
6751522.0	147.0
6751522.0	148.0
6751522.0	149.0
6751522.0	150.0
6751522.0	151.0
6751522.0	152.0
6751522.0	153.0
6751522.0	154.0
6751522.0	155.0
6751522.0	156.0
6751522.0	157.0
6751522.0	158.0
6751522.0	159.0
6751522.0	160.0
6751522.0	161.0
6751522.0	162.0
6751522.0	163.0
6751522.0	164.0
6751522.0	165.0
6751522.0	166.0
6751522.0	167.0
6751522.0	168.0
6751522.0	169.0
6751522.0	170.0
6751522.0	171.0
6751522.0	172.0
6751522.0	173.0
6751522.0	174.0
6751522.0	175.0
6751522.0	176.0
6751522.0	177.0
6751522.0	178.0
6751522.0	179.0
6751522.0	180.0
6751522.0	181.0
6751522.0	182.0
6751522.0	183.0
6751522.0	184.0
6751522.0	185.0
6751522.0	186.0
6751522.0	187.0
6751522.0	188.0
6751522.0	189.0
6751522.0	190.0
6751522.0	191.0
6751522.0	192.0
6751522.0	193.0
6751522.0	194.0
6751522.0	195.0
6751522.0	196.0
6751522.0	197.0
6751522.0	198.0
6751522.0	199.0
6751522.0	200.0
6751522.0	201.0
6751522.0	202.0
6751522.0	203.0
6751522.0	204.0
6751522.0	205.0
6751522.0	206.0
6751522.0	207.0
6751522.0	208.0
6751522.0	209.0
6751522.0	210.0
6751522.0	211.0
6751522.0	212.0
6751522.0	213.0
6751522.0	214.0
6751522.0	215.0
6751522.0	216.0
6751522.0	217.0
6751522.0	218.0
6751522.0	219.0
6751522.0	220.0
6751522.0	221.0
6751522.0	222.0
6751522.0	223.0
6751522.0	224.0
6751522.0	225.0
6751522.0	226.0
6751522.0	227.0
6751522.0	228.0
6751522.0	229.0
6751522.0	230.0
6751522.0	231.0
6751522.0	232.0
6751522.0	233.0
6751522.0	234.0
6751522.0	235.0
6751522.0	236.0
6751522.0	237.0
6751522.0	238.0
6751522.0	239.0
6751522.0	240.0
6751522.0	241.0
6751522.0	242.0
6751522.0	243.0
6751522.0	244.0
6751522.0	245.0
6751522.0	246.0
6751522.0	247.0
6751522.0	248.0
6751522.0	249.0
6751522.0	250.0
6751522.0	251.0
6751522.0	252.0
6751522.0	253.0
6751522.0	254.0
6751522.0	255.0
6751522.0	256.0
6751522.0	257.0
6751522.0	258.0
6751522.0	259.0
6751522.0	260.0
6751522.0	261.0
6751522.0	262.0
6751522.0	263.0
6751522.0	264.0
6751522.0	265.0
6751522.0	266.0
6751522.0	267.0
6751522.0	268.0
6751522.0	269.0
6751522.0	270.0
6751522.0	271.0
6751522.0	272.0
6751522.0	273.0
6751522.0	274.0
6751522.0	275.0
6751522.0	276.0
6751522.0	277.0
6751522.0	278.0
6751522.0	279.0
6751522.0	280.0
6751522.0	281.0
6751522.0	282.0
6751522.0	283.0
6751522.0	284.0
6751522.0	285.0
6751522.0	286.0
6751522.0	287.0
6751522.0	288.0
6751522.0	289.0
6751522.0	290.0
6751522.0	291.0
6751522.0	292.0
6751522.0	293.0
6751522.0	294.0
6751522.0	295.0
6751522.0	296.0
6751522.0	297.0
6751522.0	298.0
6751522.0	299.0
6751522.0	300.0
6751522.0	301.0
6751522.0	302.0
6751522.0	303.0
6751522.0	304.0
6751522.0	305.0
6751522.0	306.0
6751522.0	307.0
6751522.0	308.0
6751522.0	309.0
6751522.0	310.0
6751522.0	311.0
6751522.0	312.0
6751522.0	313.0
6751522.0	314.0
6751522.0	315.0
6751522.0	316.0
6751522.0	317.0
6751522.0	318.0
6751522.0	319.0
6751522.0	320.0
6751522.0	321.0
