error	steps
373.0	0.0
333.0	1.0
306.0	2.0
299.0	3.0
299.0	4.0
272.0	5.0
272.0	6.0
272.0	7.0
254.0	8.0
229.0	9.0
229.0	10.0
229.0	11.0
229.0	12.0
229.0	13.0
229.0	14.0
229.0	15.0
229.0	16.0
229.0	17.0
229.0	18.0
229.0	19.0
229.0	20.0
229.0	21.0
229.0	22.0
229.0	23.0
229.0	24.0
229.0	25.0
229.0	26.0
229.0	27.0
229.0	28.0
229.0	29.0
229.0	30.0
229.0	31.0
229.0	32.0
229.0	33.0
229.0	34.0
229.0	35.0
229.0	36.0
229.0	37.0
229.0	38.0
229.0	39.0
229.0	40.0
229.0	41.0
229.0	42.0
229.0	43.0
229.0	44.0
229.0	45.0
229.0	46.0
229.0	47.0
229.0	48.0
229.0	49.0
229.0	50.0
229.0	51.0
229.0	52.0
229.0	53.0
229.0	54.0
229.0	55.0
229.0	56.0
229.0	57.0
229.0	58.0
229.0	59.0
229.0	60.0
229.0	61.0
229.0	62.0
229.0	63.0
229.0	64.0
229.0	65.0
229.0	66.0
229.0	67.0
229.0	68.0
229.0	69.0
229.0	70.0
229.0	71.0
229.0	72.0
229.0	73.0
229.0	74.0
229.0	75.0
229.0	76.0
229.0	77.0
229.0	78.0
229.0	79.0
229.0	80.0
229.0	81.0
229.0	82.0
229.0	83.0
229.0	84.0
229.0	85.0
229.0	86.0
229.0	87.0
229.0	88.0
229.0	89.0
229.0	90.0
229.0	91.0
229.0	92.0
229.0	93.0
229.0	94.0
229.0	95.0
229.0	96.0
229.0	97.0
229.0	98.0
229.0	99.0
229.0	100.0
229.0	101.0
229.0	102.0
229.0	103.0
229.0	104.0
229.0	105.0
229.0	106.0
229.0	107.0
229.0	108.0
229.0	109.0
229.0	110.0
229.0	111.0
229.0	112.0
229.0	113.0
229.0	114.0
229.0	115.0
229.0	116.0
229.0	117.0
229.0	118.0
229.0	119.0
229.0	120.0
229.0	121.0
229.0	122.0
229.0	123.0
229.0	124.0
229.0	125.0
229.0	126.0
229.0	127.0
229.0	128.0
229.0	129.0
229.0	130.0
229.0	131.0
229.0	132.0
229.0	133.0
229.0	134.0
229.0	135.0
229.0	136.0
229.0	137.0
229.0	138.0
229.0	139.0
229.0	140.0
229.0	141.0
229.0	142.0
229.0	143.0
229.0	144.0
229.0	145.0
229.0	146.0
229.0	147.0
229.0	148.0
229.0	149.0
229.0	150.0
229.0	151.0
229.0	152.0
229.0	153.0
229.0	154.0
229.0	155.0
229.0	156.0
229.0	157.0
229.0	158.0
229.0	159.0
229.0	160.0
229.0	161.0
229.0	162.0
229.0	163.0
229.0	164.0
229.0	165.0
229.0	166.0
229.0	167.0
229.0	168.0
229.0	169.0
229.0	170.0
229.0	171.0
229.0	172.0
229.0	173.0
229.0	174.0
229.0	175.0
229.0	176.0
229.0	177.0
229.0	178.0
229.0	179.0
229.0	180.0
229.0	181.0
229.0	182.0
229.0	183.0
229.0	184.0
229.0	185.0
229.0	186.0
229.0	187.0
229.0	188.0
229.0	189.0
229.0	190.0
229.0	191.0
229.0	192.0
229.0	193.0
229.0	194.0
229.0	195.0
229.0	196.0
229.0	197.0
229.0	198.0
229.0	199.0
229.0	200.0
229.0	201.0
229.0	202.0
229.0	203.0
229.0	204.0
229.0	205.0
229.0	206.0
229.0	207.0
229.0	208.0
229.0	209.0
229.0	210.0
229.0	211.0
229.0	212.0
229.0	213.0
229.0	214.0
229.0	215.0
229.0	216.0
229.0	217.0
229.0	218.0
229.0	219.0
229.0	220.0
229.0	221.0
229.0	222.0
229.0	223.0
229.0	224.0
229.0	225.0
229.0	226.0
229.0	227.0
