iter	Logloss
0	0.6831295557
1	0.6741018729
2	0.664520771
3	0.6554459264
4	0.6462770584
5	0.6383021541
6	0.6296735089
7	0.6219991575
8	0.6141170396
9	0.6070085164
10	0.5994348991
11	0.5927122547
12	0.5849567387
13	0.5790280457
14	0.5724877874
15	0.5663230609
16	0.5601786912
17	0.5533607111
18	0.5472814605
19	0.5411241194
20	0.5346670503
21	0.5290787614
22	0.5238729774
23	0.5184527912
24	0.5131057469
25	0.5079941738
26	0.503446442
27	0.4990421822
28	0.4944622094
29	0.490126068
30	0.4853178595
31	0.4808844329
32	0.4764900329
33	0.4727457373
34	0.4686832313
35	0.4650059668
36	0.4611297084
37	0.457711271
38	0.4541575717
39	0.4510082711
40	0.4478627194
41	0.4447835989
42	0.4412893954
43	0.4384105061
44	0.4351918125
45	0.4322357699
46	0.429066225
47	0.4262093419
48	0.423575821
49	0.4208851287
50	0.4184210976
51	0.4159125665
52	0.4133690203
53	0.4107166797
54	0.4085704091
55	0.4060572668
56	0.4041309842
57	0.401770349
58	0.399929055
59	0.3979851899
60	0.3959992616
61	0.3940871126
62	0.3921974197
63	0.3900009882
64	0.3881118202
65	0.3864908892
66	0.3846113934
67	0.3829550349
68	0.3812520769
69	0.3795209269
70	0.3776377947
71	0.3759148174
72	0.374515149
73	0.373103784
74	0.3712728746
75	0.3698903764
76	0.3683952224
77	0.3671228682
78	0.3656057454
79	0.3643788284
80	0.3632187176
81	0.3618095644
82	0.3604006737
83	0.3591382542
84	0.3581481955
85	0.3568208068
86	0.3554446443
87	0.3544076488
88	0.3533344385
89	0.3523206865
90	0.3512139232
91	0.3500663338
92	0.348995073
93	0.3479605893
94	0.3471908186
95	0.346171968
96	0.3450151187
97	0.3441551109
98	0.3431337485
99	0.3423800233
100	0.3415737378
101	0.3407450712
102	0.3399772499
103	0.3391597926
104	0.3383459343
105	0.3376803467
106	0.3369116257
107	0.3362149594
108	0.3353767704
109	0.3347634431
110	0.3340860464
111	0.3334033261
112	0.3326717946
113	0.3319270668
114	0.3313445934
115	0.3307111342
116	0.3300732889
117	0.3293584777
118	0.3287653197
119	0.3281713744
120	0.3276358752
121	0.3271214076
122	0.3265469569
123	0.3259499
124	0.3253648023
125	0.3247981493
126	0.3242215242
127	0.323700346
128	0.3231504133
129	0.3226733227
130	0.3221138302
131	0.3215406916
132	0.32102285
133	0.3204712303
134	0.3200194075
135	0.3194935431
136	0.3190016816
137	0.3185556697
138	0.3180474253
139	0.3175945154
140	0.3172704566
141	0.3168956372
142	0.3164128856
143	0.3159536774
144	0.3154996428
145	0.3151968031
146	0.3148393038
147	0.3144668836
148	0.3141226743
149	0.3137689239
150	0.3133173823
151	0.3129567339
152	0.3126131244
153	0.3122899467
154	0.3118214411
155	0.3114976635
156	0.3111618893
157	0.3107699372
158	0.310372699
159	0.3100798503
160	0.3097760733
