iter	Passed	Remaining
0	61	252757
1	87	180180
2	107	148214
3	250	258756
4	351	290447
5	442	304708
6	513	302919
7	599	309271
8	678	310832
9	753	310976
10	842	315781
11	920	316103
12	989	313791
13	1059	311773
14	1141	313499
15	1222	314838
16	1322	320418
17	1417	324206
18	1534	332364
19	1607	330752
20	1690	331119
21	1765	330115
22	1837	328451
23	1902	325865
24	1972	324284
25	2041	322616
26	2108	320758
27	2178	319474
28	2248	318330
29	2319	317426
30	2389	316364
31	2467	316375
32	2558	318045
33	2641	318637
34	2730	319806
35	2822	321361
36	2910	322371
37	2986	321951
38	3057	321089
39	3129	320343
40	3209	320459
41	3283	319965
42	3353	319151
43	3425	318461
44	3497	317926
45	3580	318273
46	3670	319242
47	3768	320845
48	3852	321245
49	3927	320888
50	4002	320478
51	4083	320605
52	4173	321466
53	4249	321128
54	4323	320689
55	4398	320385
56	4471	319940
57	4541	319251
58	4555	314698
59	4686	318280
60	4783	319479
61	4853	318833
62	4968	321136
63	5097	324260
64	5214	326486
65	5306	327139
66	5409	328422
67	5497	328823
68	5594	329683
69	5684	330135
70	5791	331496
71	5916	333884
72	6069	337752
73	6168	338492
74	6262	338989
75	6353	339304
76	6454	340140
77	6548	340615
78	6557	336649
79	6655	337335
80	6743	337515
81	6825	337355
82	6913	337520
83	6993	337272
84	7066	336686
85	7155	336868
86	7248	337270
87	7327	336989
88	7415	337118
89	7505	337324
90	7512	333840
91	7600	333989
92	7609	330715
93	7702	331136
94	7781	330939
95	7859	330668
96	7942	330625
97	8031	330828
98	8113	330764
99	8198	330792
100	8283	330859
101	8370	330961
102	8457	331064
103	8527	330512
104	8597	329972
105	8676	329797
106	8747	329302
107	8828	329192
108	8900	328743
109	8906	325900
110	8973	325327
111	9042	324810
112	9130	324966
113	9200	324534
114	9275	324237
115	9349	323920
116	9420	323507
117	9486	322934
118	9556	322523
119	9623	321992
120	9690	321476
121	9756	320935
122	9821	320357
123	9890	319914
124	9954	319334
125	10026	319015
126	10104	318893
127	10179	318672
128	10245	318152
129	10318	317904
130	10429	318769
131	10511	318781
132	10524	316691
133	10597	316433
134	10674	316271
135	10749	316088
136	10824	315896
137	10904	315822
138	10979	315639
139	11051	315361
140	11131	315313
141	11212	315304
142	11295	315338
143	11380	315422
144	11459	315342
145	11541	315337
146	11635	315661
147	11728	315964
148	11808	315908
149	11878	315563
150	11944	315144
151	12013	314802
152	12085	314548
153	12168	314560
154	12273	315140
155	12364	315383
156	12454	315558
157	12542	315714
158	12683	317156
159	12784	317625
160	12807	316136
161	12902	316421
162	12997	316714
163	13084	316812
164	13206	317757
165	13323	318562
166	13442	319399
167	13541	319765
168	13632	319908
169	13703	319622
170	13773	319297
171	13845	319018
172	13952	319531
173	14051	319867
174	14144	320065
175	14224	319972
176	14299	319754
177	14394	320000
178	14477	319969
179	14576	320288
180	14660	320261
181	14761	320614
182	14858	320883
183	14950	321033
184	15046	321268
185	15161	321902
186	15262	322229
187	15349	322259
188	15431	322193
189	15514	322135
