error	steps
10777205.0	0.0
10687897.0	1.0
10622233.0	2.0
10538327.0	3.0
10511863.0	4.0
10478671.0	5.0
10440791.0	6.0
10418420.0	7.0
10346266.0	8.0
10302877.0	9.0
10252157.0	10.0
10189496.0	11.0
10118473.0	12.0
10098271.0	13.0
10056072.0	14.0
10018039.0	15.0
9975798.0	16.0
9945095.0	17.0
9865349.0	18.0
9836430.0	19.0
9745554.0	20.0
9687774.0	21.0
9669005.0	22.0
9634661.0	23.0
9584732.0	24.0
9497563.0	25.0
9459190.0	26.0
9457129.0	27.0
9425121.0	28.0
9344269.0	29.0
9317600.0	30.0
9274768.0	31.0
9231956.0	32.0
9205979.0	33.0
9158639.0	34.0
9090343.0	35.0
9054891.0	36.0
9036272.0	37.0
8999260.0	38.0
8970920.0	39.0
8935082.0	40.0
8867623.0	41.0
8854947.0	42.0
8818224.0	43.0
8809052.0	44.0
8796069.0	45.0
8756393.0	46.0
8722554.0	47.0
8682469.0	48.0
8636638.0	49.0
8591491.0	50.0
8561911.0	51.0
8497865.0	52.0
8448581.0	53.0
8438283.0	54.0
8407355.0	55.0
8395785.0	56.0
8365841.0	57.0
8354091.0	58.0
8333194.0	59.0
8307329.0	60.0
8284065.0	61.0
8241113.0	62.0
8231004.0	63.0
8222986.0	64.0
8214203.0	65.0
8185008.0	66.0
8173208.0	67.0
8122250.0	68.0
8090468.0	69.0
8081905.0	70.0
8050607.0	71.0
8020878.0	72.0
8004960.0	73.0
8002046.0	74.0
7968889.0	75.0
7958043.0	76.0
7955510.0	77.0
7948635.0	78.0
7940064.0	79.0
7936067.0	80.0
7915729.0	81.0
7915561.0	82.0
7915053.0	83.0
7888594.0	84.0
7862964.0	85.0
7846286.0	86.0
7838887.0	87.0
7825006.0	88.0
7802021.0	89.0
7789053.0	90.0
7781219.0	91.0
7764780.0	92.0
7758183.0	93.0
7754461.0	94.0
7741481.0	95.0
7709921.0	96.0
7701705.0	97.0
7690751.0	98.0
7678798.0	99.0
7664926.0	100.0
7664926.0	101.0
7655668.0	102.0
7655668.0	103.0
7642999.0	104.0
7636692.0	105.0
7629498.0	106.0
7623291.0	107.0
7606876.0	108.0
7606592.0	109.0
7592802.0	110.0
7582338.0	111.0
7561144.0	112.0
7534731.0	113.0
7512240.0	114.0
7476666.0	115.0
7476666.0	116.0
7476666.0	117.0
7474281.0	118.0
7460622.0	119.0
7460622.0	120.0
7449174.0	121.0
7445747.0	122.0
7437608.0	123.0
7423643.0	124.0
7423643.0	125.0
7418372.0	126.0
7409409.0	127.0
7403805.0	128.0
7403735.0	129.0
7403735.0	130.0
7403735.0	131.0
7395321.0	132.0
7391712.0	133.0
7388798.0	134.0
7386237.0	135.0
7381185.0	136.0
7381185.0	137.0
7373838.0	138.0
7373838.0	139.0
7362027.0	140.0
7359225.0	141.0
7352174.0	142.0
7346918.0	143.0
7330158.0	144.0
7324987.0	145.0
7314119.0	146.0
7302815.0	147.0
7302815.0	148.0
7302353.0	149.0
7302353.0	150.0
7302353.0	151.0
7302353.0	152.0
7293582.0	153.0
7293582.0	154.0
7293582.0	155.0
7289578.0	156.0
