error	steps
31032454117.5	0.0
30660797612.5	1.0
30362023161.0	2.0
30206882001.5	3.0
29715882922.5	4.0
29505817036.0	5.0
29277828866.5	6.0
28939135757.5	7.0
28844194353.5	8.0
28598060031.0	9.0
28409289459.0	10.0
28320772126.0	11.0
28111241706.5	12.0
27935500492.5	13.0
27703153250.5	14.0
27393748554.5	15.0
27081992026.0	16.0
26775739065.0	17.0
26496023782.5	18.0
26314793427.5	19.0
26082026038.5	20.0
25955102081.0	21.0
25860945771.5	22.0
25788839570.5	23.0
25439116418.0	24.0
25227235681.0	25.0
24865893851.0	26.0
24718139475.5	27.0
24523674329.5	28.0
24383594030.5	29.0
24233159157.5	30.0
24073803737.5	31.0
23870203968.0	32.0
23673567622.0	33.0
23397104087.0	34.0
23233293476.5	35.0
23075812128.5	36.0
22927822231.5	37.0
22818424182.5	38.0
22503409359.0	39.0
22283500784.0	40.0
22050116017.0	41.0
21872061979.5	42.0
21818303669.5	43.0
21540195512.0	44.0
21418629198.0	45.0
21291753300.0	46.0
21174972730.0	47.0
21042538127.5	48.0
21020701497.5	49.0
20911488369.0	50.0
20833920681.0	51.0
20691893490.0	52.0
20633147766.5	53.0
20562518212.5	54.0
20331956671.0	55.0
20273743064.0	56.0
20194915918.0	57.0
20044251126.0	58.0
19943678589.0	59.0
19739908829.0	60.0
19717480858.0	61.0
19591499412.0	62.0
19555918856.0	63.0
19505137139.0	64.0
19487338467.0	65.0
19376406639.0	66.0
19341625378.0	67.0
19266093266.5	68.0
19210727256.5	69.0
19210727256.5	70.0
19144154720.5	71.0
19118692676.5	72.0
18974338832.5	73.0
18929561627.5	74.0
18867330299.5	75.0
18733275281.5	76.0
18643198191.5	77.0
18559586037.5	78.0
18547778511.5	79.0
18514062739.5	80.0
18418317801.5	81.0
18404439940.5	82.0
18339734262.5	83.0
18307196533.0	84.0
18307196533.0	85.0
18230896626.5	86.0
18230896626.5	87.0
18182298827.5	88.0
18070157196.5	89.0
18017017812.0	90.0
17996096456.0	91.0
17914274946.0	92.0
17878181765.0	93.0
17878181765.0	94.0
17877579110.0	95.0
17863291136.0	96.0
17850769403.0	97.0
17792427623.0	98.0
17722961292.0	99.0
17722961292.0	100.0
17721586034.0	101.0
17656256102.0	102.0
17656256102.0	103.0
17630229456.0	104.0
17602749934.0	105.0
17520072768.0	106.0
17497896531.0	107.0
17481789111.0	108.0
17465955581.0	109.0
17433186299.0	110.0
17364932079.0	111.0
17364932079.0	112.0
17310880538.0	113.0
17238926038.0	114.0
17193481454.0	115.0
17178942855.0	116.0
17174293618.0	117.0
17173057674.0	118.0
17167640179.5	119.0
17167640179.5	120.0
17157101957.5	121.0
17157101957.5	122.0
17102262635.5	123.0
17082378798.5	124.0
17066420659.5	125.0
17059458097.0	126.0
17049759768.5	127.0
17047316014.5	128.0
17022445501.5	129.0
17012173487.5	130.0
16995804224.5	131.0
16983658977.5	132.0
16954260103.5	133.0
16918497077.5	134.0
16918497077.5	135.0
16910838598.5	136.0
16903288900.5	137.0
16903288900.5	138.0
16903288900.5	139.0
16903288900.5	140.0
16903288900.5	141.0
16903288900.5	142.0
16903288900.5	143.0
16891037641.5	144.0
16891037641.5	145.0
16879664674.5	146.0
16857831012.5	147.0
16850478153.5	148.0
16850478153.5	149.0
16850478153.5	150.0
16833217651.5	151.0
16803864234.5	152.0
16803864234.5	153.0
16803864234.5	154.0
16777847985.5	155.0
16776954081.5	156.0
16776954081.5	157.0
16776136993.5	158.0
16773027027.5	159.0
16745454161.5	160.0
16745454161.5	161.0
16745454161.5	162.0
16730795418.5	163.0
16713135046.5	164.0
16711732248.5	165.0
16711732248.5	166.0
16711732248.5	167.0
16704889865.5	168.0
16703339821.5	169.0
16693076606.0	170.0
16666948667.0	171.0
16658801742.0	172.0
16658801742.0	173.0
16658801742.0	174.0
16658801742.0	175.0
16658801742.0	176.0
16656452874.0	177.0
16649743074.0	178.0
16649743074.0	179.0
16649743074.0	180.0
16649743074.0	181.0
16649743074.0	182.0
16649743074.0	183.0
16628488102.0	184.0
16628488102.0	185.0
16623527461.0	186.0
16623527461.0	187.0
16621517674.0	188.0
16613891456.0	189.0
16613891456.0	190.0
16613891456.0	191.0
16596213078.0	192.0
16593946556.0	193.0
16587910288.5	194.0
16544229616.0	195.0
16544229616.0	196.0
16542645094.0	197.0
16542645094.0	198.0
16542645094.0	199.0
16542645094.0	200.0
16536888065.0	201.0
16536888065.0	202.0
16535238410.0	203.0
16518684281.5	204.0
16513734153.5	205.0
16513734153.5	206.0
16513734153.5	207.0
16513412311.5	208.0
16513412311.5	209.0
16513412311.5	210.0
16513412311.5	211.0
16511407246.5	212.0
16498068560.5	213.0
16498068560.5	214.0
16498068560.5	215.0
16495696482.5	216.0
16495696482.5	217.0
16495696482.5	218.0
16492728404.5	219.0
16492728404.5	220.0
16492728404.5	221.0
