error	steps
794622.0	0.0
788669.0	1.0
776231.0	2.0
769220.0	3.0
758002.0	4.0
753718.0	5.0
745418.0	6.0
737242.0	7.0
726430.0	8.0
721045.0	9.0
717623.0	10.0
708030.0	11.0
702734.0	12.0
694470.0	13.0
687049.0	14.0
677448.0	15.0
669085.0	16.0
660351.0	17.0
652427.0	18.0
642589.0	19.0
638211.0	20.0
631557.0	21.0
624797.0	22.0
622232.0	23.0
613528.0	24.0
602728.0	25.0
599804.0	26.0
592150.0	27.0
592150.0	28.0
589195.0	29.0
584940.0	30.0
581048.0	31.0
573924.0	32.0
568989.0	33.0
568469.0	34.0
562674.0	35.0
561526.0	36.0
560441.0	37.0
558309.0	38.0
558013.0	39.0
550791.0	40.0
550791.0	41.0
548298.0	42.0
546697.0	43.0
541932.0	44.0
533249.0	45.0
533006.0	46.0
531204.0	47.0
531204.0	48.0
529290.0	49.0
525856.0	50.0
524023.0	51.0
521502.0	52.0
521502.0	53.0
520705.0	54.0
519592.0	55.0
514509.0	56.0
512363.0	57.0
512129.0	58.0
512129.0	59.0
511665.0	60.0
510443.0	61.0
510443.0	62.0
510443.0	63.0
508372.0	64.0
508372.0	65.0
507950.0	66.0
507950.0	67.0
507950.0	68.0
507663.0	69.0
507663.0	70.0
506578.0	71.0
504305.0	72.0
503943.0	73.0
499524.0	74.0
499524.0	75.0
499524.0	76.0
497861.0	77.0
497760.0	78.0
497760.0	79.0
497760.0	80.0
497760.0	81.0
497142.0	82.0
497142.0	83.0
496905.0	84.0
496905.0	85.0
496536.0	86.0
496536.0	87.0
496536.0	88.0
496239.0	89.0
494613.0	90.0
493523.0	91.0
493523.0	92.0
493523.0	93.0
493523.0	94.0
493523.0	95.0
493523.0	96.0
493523.0	97.0
493523.0	98.0
493523.0	99.0
493523.0	100.0
493523.0	101.0
493523.0	102.0
493523.0	103.0
493523.0	104.0
493523.0	105.0
493523.0	106.0
493523.0	107.0
493523.0	108.0
493523.0	109.0
493523.0	110.0
493523.0	111.0
493523.0	112.0
493523.0	113.0
493523.0	114.0
493313.0	115.0
493313.0	116.0
493313.0	117.0
493313.0	118.0
492934.0	119.0
492934.0	120.0
492934.0	121.0
492934.0	122.0
492934.0	123.0
492934.0	124.0
492934.0	125.0
492934.0	126.0
492934.0	127.0
492934.0	128.0
492934.0	129.0
492934.0	130.0
492934.0	131.0
492934.0	132.0
492934.0	133.0
492934.0	134.0
492934.0	135.0
492934.0	136.0
492934.0	137.0
492934.0	138.0
492934.0	139.0
492549.0	140.0
492549.0	141.0
492549.0	142.0
492549.0	143.0
492549.0	144.0
492549.0	145.0
492549.0	146.0
492549.0	147.0
492423.0	148.0
492423.0	149.0
492029.0	150.0
492029.0	151.0
492029.0	152.0
492029.0	153.0
492029.0	154.0
492029.0	155.0
492029.0	156.0
492029.0	157.0
492029.0	158.0
492029.0	159.0
492029.0	160.0
492029.0	161.0
492029.0	162.0
491894.0	163.0
491894.0	164.0
491894.0	165.0
491894.0	166.0
491894.0	167.0
491894.0	168.0
491894.0	169.0
491894.0	170.0
491894.0	171.0
491894.0	172.0
491894.0	173.0
491894.0	174.0
491894.0	175.0
491894.0	176.0
491894.0	177.0
491894.0	178.0
491894.0	179.0
491894.0	180.0
491894.0	181.0
491894.0	182.0
491894.0	183.0
491894.0	184.0
491894.0	185.0
491894.0	186.0
491894.0	187.0
491894.0	188.0
491894.0	189.0
491894.0	190.0
491894.0	191.0
491894.0	192.0
491894.0	193.0
491894.0	194.0
491894.0	195.0
491894.0	196.0
491894.0	197.0
491894.0	198.0
491894.0	199.0
491894.0	200.0
491894.0	201.0
491894.0	202.0
491894.0	203.0
491894.0	204.0
491894.0	205.0
491894.0	206.0
491894.0	207.0
491894.0	208.0
491894.0	209.0
491894.0	210.0
491894.0	211.0
491894.0	212.0
491894.0	213.0
491894.0	214.0
491894.0	215.0
491894.0	216.0
491894.0	217.0
491894.0	218.0
491894.0	219.0
491894.0	220.0
491894.0	221.0
491894.0	222.0
491894.0	223.0
491894.0	224.0
491894.0	225.0
491894.0	226.0
491894.0	227.0
491894.0	228.0
491894.0	229.0
491894.0	230.0
491894.0	231.0
491894.0	232.0
491894.0	233.0
491894.0	234.0
491894.0	235.0
491894.0	236.0
491894.0	237.0
491894.0	238.0
491894.0	239.0
491894.0	240.0
491894.0	241.0
491894.0	242.0
491894.0	243.0
491894.0	244.0
491894.0	245.0
491894.0	246.0
491894.0	247.0
491894.0	248.0
491894.0	249.0
491894.0	250.0
491894.0	251.0
491894.0	252.0
491894.0	253.0
491894.0	254.0
491894.0	255.0
491894.0	256.0
491894.0	257.0
491894.0	258.0
491894.0	259.0
491894.0	260.0
491894.0	261.0
491894.0	262.0
491894.0	263.0
491894.0	264.0
491894.0	265.0
491894.0	266.0
491894.0	267.0
491894.0	268.0
491894.0	269.0
491894.0	270.0
491894.0	271.0
491894.0	272.0
491894.0	273.0
491894.0	274.0
491894.0	275.0
491894.0	276.0
491894.0	277.0
491894.0	278.0
491894.0	279.0
491894.0	280.0
491894.0	281.0
491894.0	282.0
491894.0	283.0
491894.0	284.0
491894.0	285.0
491894.0	286.0
491894.0	287.0
491894.0	288.0
491894.0	289.0
491894.0	290.0
491894.0	291.0
491894.0	292.0
491894.0	293.0
491894.0	294.0
491894.0	295.0
491894.0	296.0
491894.0	297.0
491894.0	298.0
491894.0	299.0
491894.0	300.0
491894.0	301.0
491894.0	302.0
491894.0	303.0
491894.0	304.0
491894.0	305.0
491894.0	306.0
491894.0	307.0
491894.0	308.0
491894.0	309.0
491894.0	310.0
491894.0	311.0
491894.0	312.0
491894.0	313.0
491894.0	314.0
491894.0	315.0
491894.0	316.0
491894.0	317.0
491894.0	318.0
491894.0	319.0
491894.0	320.0
491894.0	321.0
491894.0	322.0
491894.0	323.0
491894.0	324.0
491894.0	325.0
491894.0	326.0
491894.0	327.0
491894.0	328.0
491894.0	329.0
491894.0	330.0
491894.0	331.0
491894.0	332.0
491894.0	333.0
491894.0	334.0
491894.0	335.0
491894.0	336.0
491894.0	337.0
491894.0	338.0
491894.0	339.0
491894.0	340.0
491894.0	341.0
491894.0	342.0
491894.0	343.0
491894.0	344.0
491894.0	345.0
491894.0	346.0
491894.0	347.0
491894.0	348.0
491894.0	349.0
491894.0	350.0
491894.0	351.0
491894.0	352.0
491894.0	353.0
491894.0	354.0
491894.0	355.0
491894.0	356.0
491894.0	357.0
491894.0	358.0
491894.0	359.0
491894.0	360.0
491894.0	361.0
491894.0	362.0
491894.0	363.0
491894.0	364.0
491894.0	365.0
491894.0	366.0
491894.0	367.0
491894.0	368.0
491894.0	369.0
491894.0	370.0
491894.0	371.0
491894.0	372.0
491894.0	373.0
491894.0	374.0
491894.0	375.0
491894.0	376.0
491894.0	377.0
491894.0	378.0
491894.0	379.0
491894.0	380.0
491894.0	381.0
491894.0	382.0
491894.0	383.0
491894.0	384.0
491894.0	385.0
491894.0	386.0
491894.0	387.0
491894.0	388.0
491894.0	389.0
491894.0	390.0
491894.0	391.0
491894.0	392.0
491894.0	393.0
491894.0	394.0
491894.0	395.0
491894.0	396.0
491894.0	397.0
491894.0	398.0
491894.0	399.0
491894.0	400.0
491894.0	401.0
491894.0	402.0
491894.0	403.0
491894.0	404.0
491894.0	405.0
491894.0	406.0
491894.0	407.0
491894.0	408.0
491894.0	409.0
491894.0	410.0
491894.0	411.0
491894.0	412.0
491894.0	413.0
491894.0	414.0
491894.0	415.0
491894.0	416.0
491894.0	417.0
491894.0	418.0
491894.0	419.0
491894.0	420.0
491894.0	421.0
491894.0	422.0
491894.0	423.0
491894.0	424.0
491894.0	425.0
491894.0	426.0
491894.0	427.0
491894.0	428.0
491894.0	429.0
491894.0	430.0
491894.0	431.0
491894.0	432.0
491894.0	433.0
491894.0	434.0
491894.0	435.0
491894.0	436.0
491894.0	437.0
491894.0	438.0
491894.0	439.0
491894.0	440.0
491894.0	441.0
491894.0	442.0
491894.0	443.0
491894.0	444.0
491894.0	445.0
491894.0	446.0
491894.0	447.0
491894.0	448.0
491894.0	449.0
491894.0	450.0
491894.0	451.0
491894.0	452.0
491894.0	453.0
491894.0	454.0
491894.0	455.0
491894.0	456.0
491894.0	457.0
491894.0	458.0
491894.0	459.0
491894.0	460.0
491894.0	461.0
491894.0	462.0
491894.0	463.0
491894.0	464.0
491894.0	465.0
491894.0	466.0
491894.0	467.0
491894.0	468.0
491894.0	469.0
491894.0	470.0
491894.0	471.0
491894.0	472.0
491894.0	473.0
491894.0	474.0
491894.0	475.0
491894.0	476.0
491894.0	477.0
491894.0	478.0
491894.0	479.0
491894.0	480.0
491894.0	481.0
491894.0	482.0
491894.0	483.0
491894.0	484.0
491894.0	485.0
491894.0	486.0
491894.0	487.0
491894.0	488.0
491894.0	489.0
491894.0	490.0
491894.0	491.0
491894.0	492.0
491894.0	493.0
491894.0	494.0
491894.0	495.0
491894.0	496.0
491894.0	497.0
491894.0	498.0
491894.0	499.0
491894.0	500.0
491894.0	501.0
491894.0	502.0
491894.0	503.0
491894.0	504.0
491894.0	505.0
491894.0	506.0
491894.0	507.0
491894.0	508.0
491894.0	509.0
491894.0	510.0
491894.0	511.0
491894.0	512.0
491894.0	513.0
491894.0	514.0
491894.0	515.0
491894.0	516.0
491894.0	517.0
491894.0	518.0
491894.0	519.0
491894.0	520.0
491894.0	521.0
491894.0	522.0
491894.0	523.0
491894.0	524.0
491894.0	525.0
491894.0	526.0
491894.0	527.0
491894.0	528.0
491894.0	529.0
491894.0	530.0
491894.0	531.0
491894.0	532.0
491894.0	533.0
491894.0	534.0
491894.0	535.0
491894.0	536.0
491894.0	537.0
491894.0	538.0
491894.0	539.0
491894.0	540.0
491894.0	541.0
