error	steps
606659698.0	0.0
595516384.0	1.0
581145726.0	2.0
573154653.0	3.0
560264903.0	4.0
546399356.0	5.0
535204558.0	6.0
523331639.0	7.0
507378826.0	8.0
498131112.0	9.0
490933326.0	10.0
490933326.0	11.0
482730825.0	12.0
471834251.0	13.0
455571408.0	14.0
450624009.0	15.0
442636215.0	16.0
438439219.0	17.0
432062902.0	18.0
429684637.0	19.0
425624383.0	20.0
412780656.0	21.0
411570549.0	22.0
405784959.0	23.0
390373339.0	24.0
384242674.0	25.0
376798231.0	26.0
375933830.0	27.0
371785208.0	28.0
370007294.0	29.0
364088407.0	30.0
354715343.0	31.0
347636615.0	32.0
342072457.0	33.0
338453613.0	34.0
336298025.0	35.0
332035547.0	36.0
331923162.0	37.0
331923162.0	38.0
329013844.0	39.0
323593324.0	40.0
323593324.0	41.0
320781283.0	42.0
320781283.0	43.0
320781283.0	44.0
320387735.0	45.0
320307533.0	46.0
319757096.0	47.0
319693780.0	48.0
319693780.0	49.0
318591981.0	50.0
316330708.0	51.0
315140336.0	52.0
312302731.0	53.0
311408983.0	54.0
310649017.0	55.0
306921952.0	56.0
306921952.0	57.0
304728783.0	58.0
304690233.0	59.0
304690233.0	60.0
304392806.0	61.0
299474304.0	62.0
298665028.0	63.0
297385608.0	64.0
296476831.0	65.0
296476831.0	66.0
296476831.0	67.0
291800921.0	68.0
291800921.0	69.0
288571989.0	70.0
288571989.0	71.0
288571989.0	72.0
288571989.0	73.0
288571989.0	74.0
288571989.0	75.0
288571989.0	76.0
288571989.0	77.0
287076772.0	78.0
287076772.0	79.0
287076772.0	80.0
287024918.0	81.0
287024918.0	82.0
287024918.0	83.0
287024918.0	84.0
286951336.0	85.0
286951336.0	86.0
286951336.0	87.0
286951336.0	88.0
286951336.0	89.0
285938214.0	90.0
285449288.0	91.0
285449288.0	92.0
285449288.0	93.0
285449288.0	94.0
285184288.0	95.0
285141113.0	96.0
285141113.0	97.0
285141113.0	98.0
285141113.0	99.0
281007154.0	100.0
281007154.0	101.0
281007154.0	102.0
281007154.0	103.0
281007154.0	104.0
280500577.0	105.0
280500577.0	106.0
280500577.0	107.0
280500577.0	108.0
280134492.0	109.0
279770521.0	110.0
279770521.0	111.0
279770521.0	112.0
279770521.0	113.0
279770521.0	114.0
279770521.0	115.0
279770521.0	116.0
279770521.0	117.0
279770521.0	118.0
278386523.0	119.0
278386523.0	120.0
278386523.0	121.0
278386523.0	122.0
278386523.0	123.0
278386523.0	124.0
278386523.0	125.0
278386523.0	126.0
278386523.0	127.0
278386523.0	128.0
278386523.0	129.0
277783707.0	130.0
277783707.0	131.0
277783707.0	132.0
277783707.0	133.0
277783707.0	134.0
277783707.0	135.0
277783707.0	136.0
277783707.0	137.0
277783707.0	138.0
277371755.0	139.0
276881048.0	140.0
276881048.0	141.0
276881048.0	142.0
276881048.0	143.0
276881048.0	144.0
276618640.0	145.0
276182909.0	146.0
276182909.0	147.0
276182909.0	148.0
276182909.0	149.0
275535317.0	150.0
275535317.0	151.0
275535317.0	152.0
275535317.0	153.0
275535317.0	154.0
275535317.0	155.0
275535317.0	156.0
275535317.0	157.0
275535317.0	158.0
275535317.0	159.0
275535317.0	160.0
275535317.0	161.0
275535317.0	162.0
275535317.0	163.0
275535317.0	164.0
275535317.0	165.0
275535317.0	166.0
275496088.0	167.0
275496088.0	168.0
275496088.0	169.0
275496088.0	170.0
275496088.0	171.0
275496088.0	172.0
275496088.0	173.0
275496088.0	174.0
275496088.0	175.0
275496088.0	176.0
275496088.0	177.0
275496088.0	178.0
275496088.0	179.0
275496088.0	180.0
275272502.0	181.0
275272502.0	182.0
275272502.0	183.0
275272502.0	184.0
275272502.0	185.0
275272502.0	186.0
275272502.0	187.0
275272502.0	188.0
275068332.0	189.0
275068332.0	190.0
275068332.0	191.0
275068332.0	192.0
275068332.0	193.0
275068332.0	194.0
275068332.0	195.0
275068332.0	196.0
275068332.0	197.0
275068332.0	198.0
275068332.0	199.0
275068332.0	200.0
275068332.0	201.0
275068332.0	202.0
275068332.0	203.0
275068332.0	204.0
275068332.0	205.0
275068332.0	206.0
275068332.0	207.0
275068332.0	208.0
275068332.0	209.0
275068332.0	210.0
275068332.0	211.0
275068332.0	212.0
275068332.0	213.0
275068332.0	214.0
275068332.0	215.0
275068332.0	216.0
275068332.0	217.0
275068332.0	218.0
275068332.0	219.0
275068332.0	220.0
275068332.0	221.0
275068332.0	222.0
274138263.0	223.0
274138263.0	224.0
274138263.0	225.0
274138263.0	226.0
274138263.0	227.0
274138263.0	228.0
274138263.0	229.0
274138263.0	230.0
274138263.0	231.0
274138263.0	232.0
274138263.0	233.0
274138263.0	234.0
274138263.0	235.0
274138263.0	236.0
274138263.0	237.0
274138263.0	238.0
274138263.0	239.0
274138263.0	240.0
274138263.0	241.0
274138263.0	242.0
274138263.0	243.0
274138263.0	244.0
274138263.0	245.0
274138263.0	246.0
274138263.0	247.0
274138263.0	248.0
274138263.0	249.0
274138263.0	250.0
274138263.0	251.0
274138263.0	252.0
274138263.0	253.0
274138263.0	254.0
274138263.0	255.0
274138263.0	256.0
274138263.0	257.0
274138263.0	258.0
274138263.0	259.0
274138263.0	260.0
274138263.0	261.0
274138263.0	262.0
274138263.0	263.0
274138263.0	264.0
274138263.0	265.0
274138263.0	266.0
274138263.0	267.0
274138263.0	268.0
274138263.0	269.0
274138263.0	270.0
274138263.0	271.0
274138263.0	272.0
274138263.0	273.0
274138263.0	274.0
274138263.0	275.0
274138263.0	276.0
274138263.0	277.0
274138263.0	278.0
274138263.0	279.0
274138263.0	280.0
274138263.0	281.0
274138263.0	282.0
274138263.0	283.0
274138263.0	284.0
274138263.0	285.0
274138263.0	286.0
274138263.0	287.0
274138263.0	288.0
274138263.0	289.0
274138263.0	290.0
274138263.0	291.0
274138263.0	292.0
274138263.0	293.0
274138263.0	294.0
274138263.0	295.0
274138263.0	296.0
274138263.0	297.0
274138263.0	298.0
274138263.0	299.0
274138263.0	300.0
274138263.0	301.0
274138263.0	302.0
274138263.0	303.0
274138263.0	304.0
274138263.0	305.0
274138263.0	306.0
274138263.0	307.0
274138263.0	308.0
274138263.0	309.0
274138263.0	310.0
274138263.0	311.0
274138263.0	312.0
274138263.0	313.0
274138263.0	314.0
274138263.0	315.0
274138263.0	316.0
274138263.0	317.0
274138263.0	318.0
274138263.0	319.0
274138263.0	320.0
274138263.0	321.0
274138263.0	322.0
274138263.0	323.0
274138263.0	324.0
274138263.0	325.0
274138263.0	326.0
274138263.0	327.0
274138263.0	328.0
274138263.0	329.0
274138263.0	330.0
274138263.0	331.0
274138263.0	332.0
274138263.0	333.0
274138263.0	334.0
274138263.0	335.0
