error	steps
487858766.0	0.0
473410319.0	1.0
462094852.0	2.0
456751674.0	3.0
450364675.0	4.0
435269797.0	5.0
432772495.0	6.0
425523836.0	7.0
416781382.0	8.0
410544390.0	9.0
405862536.0	10.0
394511042.0	11.0
383579956.0	12.0
382442637.0	13.0
378006692.0	14.0
372715623.0	15.0
371387148.0	16.0
368224604.0	17.0
361305473.0	18.0
354868292.0	19.0
350443287.0	20.0
348125037.0	21.0
344059741.0	22.0
337170896.0	23.0
337096594.0	24.0
335687405.0	25.0
332737267.0	26.0
332418937.0	27.0
325070728.0	28.0
322106344.0	29.0
320684733.0	30.0
320200439.0	31.0
316695244.0	32.0
315973179.0	33.0
314036575.0	34.0
311426595.0	35.0
306138098.0	36.0
305192111.0	37.0
305192111.0	38.0
303180769.0	39.0
301798132.0	40.0
298022113.0	41.0
296458934.0	42.0
295594736.0	43.0
294529304.0	44.0
294529304.0	45.0
293287967.0	46.0
291062909.0	47.0
286804733.0	48.0
282173240.0	49.0
280639652.0	50.0
279053582.0	51.0
279053582.0	52.0
275958970.0	53.0
275286873.0	54.0
271590418.0	55.0
267198819.0	56.0
267198819.0	57.0
266346975.0	58.0
265746203.0	59.0
262159791.0	60.0
261915606.0	61.0
261018304.0	62.0
260801594.0	63.0
259093291.0	64.0
258927537.0	65.0
258927537.0	66.0
258662303.0	67.0
258339094.0	68.0
256250741.0	69.0
254046390.0	70.0
254046390.0	71.0
253452203.0	72.0
252138589.0	73.0
251341598.0	74.0
250657571.0	75.0
249182333.0	76.0
248134640.0	77.0
248134640.0	78.0
247346603.0	79.0
246580730.0	80.0
246055063.0	81.0
246055063.0	82.0
246055063.0	83.0
246055063.0	84.0
245707237.0	85.0
245127701.0	86.0
245127701.0	87.0
244672054.0	88.0
244672054.0	89.0
244672054.0	90.0
243862196.0	91.0
242615859.0	92.0
242615859.0	93.0
242615859.0	94.0
242615859.0	95.0
242156820.0	96.0
242156820.0	97.0
241918840.0	98.0
241905290.0	99.0
241335631.0	100.0
238257479.0	101.0
237538738.0	102.0
237309727.0	103.0
236646819.0	104.0
236646819.0	105.0
236646819.0	106.0
235320401.0	107.0
235320401.0	108.0
235320401.0	109.0
235320401.0	110.0
235320401.0	111.0
235320401.0	112.0
235320401.0	113.0
234580783.0	114.0
234580783.0	115.0
234580783.0	116.0
234580783.0	117.0
234580783.0	118.0
234580783.0	119.0
234580783.0	120.0
234580783.0	121.0
234580783.0	122.0
233542652.0	123.0
233542652.0	124.0
233542652.0	125.0
233542652.0	126.0
233542652.0	127.0
233542652.0	128.0
233542652.0	129.0
232801948.0	130.0
232801948.0	131.0
232801948.0	132.0
232801948.0	133.0
232801948.0	134.0
232801948.0	135.0
232801948.0	136.0
232801948.0	137.0
232801948.0	138.0
232801948.0	139.0
232801948.0	140.0
232801948.0	141.0
232801948.0	142.0
232801948.0	143.0
232801948.0	144.0
232801948.0	145.0
232801948.0	146.0
232801948.0	147.0
232801948.0	148.0
232801948.0	149.0
232801948.0	150.0
232801948.0	151.0
232801948.0	152.0
232801948.0	153.0
232801948.0	154.0
232801948.0	155.0
232801948.0	156.0
232801948.0	157.0
232801948.0	158.0
232801948.0	159.0
232801948.0	160.0
232801948.0	161.0
232801948.0	162.0
232801948.0	163.0
232245673.0	164.0
232245673.0	165.0
232245673.0	166.0
232245673.0	167.0
232245673.0	168.0
232245673.0	169.0
232245673.0	170.0
232245673.0	171.0
232245673.0	172.0
232245673.0	173.0
232245673.0	174.0
232245673.0	175.0
232245673.0	176.0
232245673.0	177.0
232245673.0	178.0
232245673.0	179.0
232245673.0	180.0
232245673.0	181.0
232245673.0	182.0
232245673.0	183.0
232245673.0	184.0
232245673.0	185.0
232245673.0	186.0
232245673.0	187.0
