0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	29	27	28	26	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	52	20	21	22	23	24	25	29	27	28	26	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	19	53
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	52	20	21	22	23	24	25	29	27	28	26	30	31	38	33	34	35	36	37	32	39	40	41	42	43	44	45	46	47	48	49	50	51	19	53
0	1	2	3	4	5	6	7	8	9	43	11	12	13	14	15	16	17	18	52	20	21	22	23	24	25	29	27	28	26	30	31	38	33	34	35	36	37	32	39	40	41	42	10	44	45	46	47	48	49	50	51	19	53
0	1	2	3	4	5	6	7	22	9	43	11	12	13	14	15	16	17	18	52	20	21	8	23	24	25	29	27	28	26	30	31	38	33	34	35	36	37	32	39	40	41	42	10	44	45	46	47	48	49	50	51	19	53
0	1	2	28	4	5	6	7	22	9	43	11	12	13	14	15	16	17	18	52	20	21	8	23	24	25	29	27	3	26	30	31	38	33	34	35	36	37	32	39	40	41	42	10	44	45	46	47	48	49	50	51	19	53
0	1	29	28	4	5	6	7	22	9	43	11	12	13	14	15	16	17	18	52	20	21	8	23	24	25	2	27	3	26	30	31	38	33	34	35	36	37	32	39	40	41	42	10	44	45	46	47	48	49	50	51	19	53
0	1	29	28	4	5	6	7	22	9	43	11	12	13	14	15	16	17	18	52	20	40	8	23	24	25	2	27	3	26	30	31	38	33	34	35	36	37	32	39	21	41	42	10	44	45	46	47	48	49	50	51	19	53
0	1	29	28	4	5	6	7	22	9	43	11	12	13	14	15	16	17	18	52	48	40	8	23	24	25	2	27	3	26	30	31	38	33	34	35	36	37	32	39	21	41	42	10	44	45	46	47	20	49	50	51	19	53
0	1	29	28	4	5	6	7	22	9	43	11	12	13	14	15	16	17	18	52	48	40	8	23	24	41	2	27	3	26	30	31	38	33	34	35	36	37	32	39	21	25	42	10	44	45	46	47	20	49	50	51	19	53
50	1	29	28	4	5	6	7	22	9	43	11	12	13	14	15	16	17	18	52	48	40	8	23	24	41	2	27	3	26	30	31	38	33	34	35	36	37	32	39	21	25	42	10	44	45	46	47	20	49	0	51	19	53
50	1	29	28	4	5	6	7	22	9	43	11	12	13	14	15	16	17	18	52	48	40	36	23	24	41	2	27	3	26	30	31	38	33	34	35	8	37	32	39	21	25	42	10	44	45	46	47	20	49	0	51	19	53
50	1	29	28	4	5	6	7	22	9	43	11	12	13	14	15	16	17	32	52	48	40	36	23	24	41	2	27	3	26	30	31	38	33	34	35	8	37	18	39	21	25	42	10	44	45	46	47	20	49	0	51	19	53
50	1	29	28	4	5	43	7	22	9	6	11	12	13	14	15	16	17	32	52	48	40	36	23	24	41	2	27	3	26	30	31	38	33	34	35	8	37	18	39	21	25	42	10	44	45	46	47	20	49	0	51	19	53
50	1	29	28	4	7	43	5	22	9	6	11	12	13	14	15	16	17	32	52	48	40	36	23	24	41	2	27	3	26	30	31	38	33	34	35	8	37	18	39	21	25	42	10	44	45	46	47	20	49	0	51	19	53
50	1	29	28	4	7	43	5	22	9	6	11	12	13	14	15	16	17	32	52	48	40	36	23	24	41	2	27	3	26	30	31	38	33	34	35	8	18	37	39	21	25	42	10	44	45	46	47	20	49	0	51	19	53
50	1	29	28	12	7	43	5	22	9	6	11	4	13	14	15	16	17	32	52	48	40	36	23	24	41	2	27	3	26	30	31	38	33	34	35	8	18	37	39	21	25	42	10	44	45	46	47	20	49	0	51	19	53
50	1	29	28	12	7	43	5	22	9	6	11	4	13	14	15	16	45	32	52	48	40	36	23	24	41	2	27	3	26	30	31	38	33	34	35	8	18	37	39	21	25	42	10	44	17	46	47	20	49	0	51	19	53
50	1	29	28	12	7	43	5	22	9	6	11	4	13	14	15	2	45	32	52	48	40	36	23	24	41	16	27	3	26	30	31	38	33	34	35	8	18	37	39	21	25	42	10	44	17	46	47	20	49	0	51	19	53
50	1	29	28	12	7	43	5	22	9	6	11	4	13	33	15	2	45	32	52	48	40	36	23	24	41	16	27	3	26	30	31	38	14	34	35	8	18	37	39	21	25	42	10	44	17	46	47	20	49	0	51	19	53
50	47	29	28	12	7	43	5	22	9	6	11	4	13	33	15	2	45	32	52	48	40	36	23	24	41	16	27	3	26	30	31	38	14	34	35	8	18	37	39	21	25	42	10	44	17	46	1	20	49	0	51	19	53
50	47	29	28	12	7	43	5	22	9	6	30	4	13	33	15	2	45	32	52	48	40	36	23	24	41	16	27	3	26	11	31	38	14	34	35	8	18	37	39	21	25	42	10	44	17	46	1	20	49	0	51	19	53
50	47	29	28	12	7	43	5	22	9	6	30	4	13	33	15	2	45	32	52	48	40	36	23	24	41	16	27	3	26	11	31	38	14	34	35	8	18	37	39	21	25	42	53	44	17	46	1	20	49	0	51	19	10
50	47	29	28	12	7	43	5	22	9	6	30	13	4	33	15	2	45	32	52	48	40	36	23	24	41	16	27	3	26	11	31	38	14	34	35	8	18	37	39	21	25	42	53	44	17	46	1	20	49	0	51	19	10
50	47	29	28	12	7	43	5	22	9	6	30	13	4	33	15	2	44	32	52	48	40	36	23	24	41	16	27	3	26	11	31	38	14	34	35	8	18	37	39	21	25	42	53	45	17	46	1	20	49	0	51	19	10
50	47	29	28	12	7	43	5	22	31	6	30	13	4	33	15	2	44	32	52	48	40	36	23	24	41	16	27	3	26	11	9	38	14	34	35	8	18	37	39	21	25	42	53	45	17	46	1	20	49	0	51	19	10
50	47	29	28	12	7	43	5	22	31	6	30	13	4	33	15	2	44	32	52	48	40	23	36	24	41	16	27	3	26	11	9	38	14	34	35	8	18	37	39	21	25	42	53	45	17	46	1	20	49	0	51	19	10
50	47	29	28	12	7	43	5	22	31	6	30	13	4	33	35	2	44	32	52	48	40	23	36	24	41	16	27	3	26	11	9	38	14	34	15	8	18	37	39	21	25	42	53	45	17	46	1	20	49	0	51	19	10
50	47	29	28	12	7	43	5	22	31	6	30	13	4	33	35	2	44	32	52	48	40	23	36	51	41	16	27	3	26	11	9	38	14	34	15	8	18	37	39	21	25	42	53	45	17	46	1	20	49	0	24	19	10
50	47	29	28	12	7	43	5	22	31	6	30	13	4	33	35	2	44	32	52	48	40	23	36	51	41	16	27	3	26	11	9	38	14	49	15	8	18	37	39	21	25	42	53	45	17	46	1	20	34	0	24	19	10
50	47	29	28	12	7	43	5	22	31	6	30	13	4	33	35	2	44	32	52	48	40	23	36	51	41	16	27	3	26	11	39	38	14	49	15	8	18	37	9	21	25	42	53	45	17	46	1	20	34	0	24	19	10
50	47	46	28	12	7	43	5	22	31	6	30	13	4	33	35	2	44	32	52	48	40	23	36	51	41	16	27	3	26	11	39	38	14	49	15	8	18	37	9	21	25	42	53	45	17	29	1	20	34	0	24	19	10
50	47	46	28	12	7	43	5	22	31	6	30	13	4	33	35	2	44	32	52	48	40	23	36	51	41	16	17	3	26	11	39	38	14	49	15	8	18	37	9	21	25	42	53	45	27	29	1	20	34	0	24	19	10
50	47	46	28	12	7	43	5	22	31	6	30	13	4	33	35	2	44	32	52	48	40	23	36	51	42	16	17	3	26	11	39	38	14	49	15	8	18	37	9	21	25	41	53	45	27	29	1	20	34	0	24	19	10
50	47	46	28	12	7	43	5	22	31	6	30	13	4	33	35	2	44	32	26	48	40	23	36	51	42	16	17	3	52	11	39	38	14	49	15	8	18	37	9	21	25	41	53	45	27	29	1	20	34	0	24	19	10
50	47	46	28	12	7	43	5	22	31	6	30	13	4	33	35	2	19	32	26	48	40	23	36	51	42	16	17	3	52	11	39	38	14	49	15	8	18	37	9	21	25	41	53	45	27	29	1	20	34	0	24	44	10
50	47	46	28	12	7	43	5	22	31	6	30	13	4	33	35	2	19	32	26	48	40	23	36	51	42	16	17	3	52	11	38	39	14	49	15	8	18	37	9	21	25	41	53	45	27	29	1	20	34	0	24	44	10
50	47	46	28	12	7	43	5	22	31	6	30	13	4	33	35	2	19	32	26	48	40	23	36	51	42	16	17	3	52	11	38	39	14	49	15	8	18	37	9	21	25	41	53	45	27	29	1	20	34	0	24	44	10
50	47	46	28	12	7	43	5	22	3	6	30	13	4	33	35	2	19	32	26	48	40	23	36	51	42	16	17	31	52	11	38	39	14	49	15	8	18	37	9	21	25	41	53	45	27	29	1	20	34	0	24	44	10
50	28	46	47	12	7	43	5	22	3	6	30	13	4	33	35	2	19	32	26	48	40	23	36	51	42	16	17	31	52	11	38	39	14	49	15	8	18	37	9	21	25	41	53	45	27	29	1	20	34	0	24	44	10
50	28	46	47	12	7	43	5	22	3	6	30	13	4	33	35	2	19	32	26	40	48	23	36	51	42	16	17	31	52	11	38	39	14	49	15	8	18	37	9	21	25	41	53	45	27	29	1	20	34	0	24	44	10
50	28	46	47	12	7	43	5	22	3	6	30	13	4	33	35	2	19	32	26	40	48	23	36	51	42	16	17	31	52	11	38	21	14	49	15	8	18	37	9	39	25	41	53	45	27	29	1	20	34	0	24	44	10
50	28	46	47	12	7	43	5	22	3	6	30	13	4	33	35	2	19	32	26	40	48	23	36	51	42	16	20	31	52	11	38	21	14	49	15	8	18	37	9	39	25	41	53	45	27	29	1	17	34	0	24	44	10
