error	steps
274778429.0	0.0
273821339.0	1.0
272852520.0	2.0
271408409.0	3.0
270669308.0	4.0
269742175.0	5.0
268997049.0	6.0
268732982.0	7.0
268335102.0	8.0
267841021.0	9.0
266883109.0	10.0
266008083.0	11.0
265367421.0	12.0
264994714.0	13.0
264444373.0	14.0
264040778.0	15.0
263465260.0	16.0
262760362.0	17.0
261884432.0	18.0
261417485.0	19.0
261044733.0	20.0
260458368.0	21.0
260157435.0	22.0
259892339.0	23.0
259260758.0	24.0
259067583.0	25.0
258415593.0	26.0
257867803.0	27.0
257522122.0	28.0
257226656.0	29.0
256967396.0	30.0
256804227.0	31.0
256307155.0	32.0
255713448.0	33.0
255321478.0	34.0
254750085.0	35.0
254363695.0	36.0
253854662.0	37.0
253219971.0	38.0
252614887.0	39.0
252221171.0	40.0
251608515.0	41.0
251300171.0	42.0
250767948.0	43.0
250389665.0	44.0
249939822.0	45.0
249359435.0	46.0
249007169.0	47.0
248614645.0	48.0
247681503.0	49.0
247199531.0	50.0
246904078.0	51.0
246774585.0	52.0
246277737.0	53.0
245737301.0	54.0
245028253.0	55.0
244793535.0	56.0
244206252.0	57.0
243958836.0	58.0
243639774.0	59.0
243424603.0	60.0
243154741.0	61.0
242819247.0	62.0
242619857.0	63.0
242213030.0	64.0
242032287.0	65.0
241908371.0	66.0
241277200.0	67.0
240867627.0	68.0
240112880.0	69.0
239748699.0	70.0
239219009.0	71.0
238985542.0	72.0
238738695.0	73.0
238341082.0	74.0
237962135.0	75.0
237504802.0	76.0
237318990.0	77.0
237043720.0	78.0
236516034.0	79.0
236072113.0	80.0
235801605.0	81.0
235577165.0	82.0
235387734.0	83.0
234804058.0	84.0
234550224.0	85.0
233970656.0	86.0
233744946.0	87.0
233362503.0	88.0
233130211.0	89.0
232776319.0	90.0
232671823.0	91.0
232322204.0	92.0
232049857.0	93.0
231921052.0	94.0
231569910.0	95.0
231486946.0	96.0
231250230.0	97.0
231015981.0	98.0
230718104.0	99.0
230316615.0	100.0
230130653.0	101.0
230004077.0	102.0
229527330.0	103.0
229246450.0	104.0
228821020.0	105.0
228598510.0	106.0
228496979.0	107.0
228205971.0	108.0
228094211.0	109.0
228002433.0	110.0
227887571.0	111.0
227595605.0	112.0
227322354.0	113.0
226896122.0	114.0
226195015.0	115.0
226131258.0	116.0
225855806.0	117.0
225752098.0	118.0
225492068.0	119.0
225234307.0	120.0
224985883.0	121.0
224773710.0	122.0
224606379.0	123.0
