error	steps
44984.0	0.0
41860.0	1.0
41419.0	2.0
40849.0	3.0
39681.0	4.0
38905.0	5.0
38636.0	6.0
37175.0	7.0
36216.0	8.0
36100.0	9.0
36066.0	10.0
35537.0	11.0
34984.0	12.0
33699.0	13.0
33074.0	14.0
31840.0	15.0
31139.0	16.0
30889.0	17.0
30382.0	18.0
30382.0	19.0
30317.0	20.0
30317.0	21.0
29901.0	22.0
29888.0	23.0
29668.0	24.0
29563.0	25.0
29390.0	26.0
29242.0	27.0
29242.0	28.0
29018.0	29.0
27996.0	30.0
27823.0	31.0
27823.0	32.0
27582.0	33.0
27226.0	34.0
26878.0	35.0
26878.0	36.0
26878.0	37.0
26666.0	38.0
26629.0	39.0
26629.0	40.0
26629.0	41.0
26463.0	42.0
26261.0	43.0
26195.0	44.0
26195.0	45.0
26195.0	46.0
25817.0	47.0
25817.0	48.0
25625.0	49.0
25625.0	50.0
25617.0	51.0
25617.0	52.0
25617.0	53.0
25617.0	54.0
25617.0	55.0
25617.0	56.0
25617.0	57.0
25617.0	58.0
25288.0	59.0
25288.0	60.0
25288.0	61.0
25288.0	62.0
25288.0	63.0
25288.0	64.0
25288.0	65.0
25288.0	66.0
25288.0	67.0
25288.0	68.0
25288.0	69.0
25288.0	70.0
25288.0	71.0
25288.0	72.0
25288.0	73.0
25288.0	74.0
25288.0	75.0
25288.0	76.0
25288.0	77.0
25288.0	78.0
25288.0	79.0
25288.0	80.0
25288.0	81.0
25288.0	82.0
25288.0	83.0
25288.0	84.0
25288.0	85.0
25288.0	86.0
25288.0	87.0
25288.0	88.0
25288.0	89.0
25288.0	90.0
25288.0	91.0
25288.0	92.0
25288.0	93.0
25288.0	94.0
25288.0	95.0
25288.0	96.0
25288.0	97.0
25288.0	98.0
25288.0	99.0
25288.0	100.0
25288.0	101.0
25288.0	102.0
25288.0	103.0
25288.0	104.0
25288.0	105.0
25288.0	106.0
25288.0	107.0
25288.0	108.0
25288.0	109.0
25288.0	110.0
25288.0	111.0
25288.0	112.0
25288.0	113.0
25288.0	114.0
25288.0	115.0
25288.0	116.0
25288.0	117.0
25288.0	118.0
25288.0	119.0
25288.0	120.0
25288.0	121.0
25288.0	122.0
25288.0	123.0
25288.0	124.0
25288.0	125.0
25288.0	126.0
25288.0	127.0
25288.0	128.0
25288.0	129.0
25288.0	130.0
25288.0	131.0
25288.0	132.0
25288.0	133.0
25288.0	134.0
25288.0	135.0
25288.0	136.0
25288.0	137.0
25288.0	138.0
25288.0	139.0
25288.0	140.0
25288.0	141.0
25288.0	142.0
25288.0	143.0
25288.0	144.0
25288.0	145.0
25288.0	146.0
25288.0	147.0
25288.0	148.0
25288.0	149.0
25288.0	150.0
25288.0	151.0
25288.0	152.0
25288.0	153.0
25288.0	154.0
25288.0	155.0
25288.0	156.0
25288.0	157.0
25288.0	158.0
25288.0	159.0
25288.0	160.0
25288.0	161.0
25288.0	162.0
25288.0	163.0
25288.0	164.0
25288.0	165.0
25288.0	166.0
25288.0	167.0
25288.0	168.0
25288.0	169.0
25288.0	170.0
25288.0	171.0
25288.0	172.0
25288.0	173.0
25288.0	174.0
25288.0	175.0
25288.0	176.0
25288.0	177.0
25288.0	178.0
25288.0	179.0
25288.0	180.0
25288.0	181.0
25288.0	182.0
25288.0	183.0
25288.0	184.0
25288.0	185.0
25288.0	186.0
25288.0	187.0
25288.0	188.0
25288.0	189.0
25288.0	190.0
25288.0	191.0
25288.0	192.0
25288.0	193.0
25288.0	194.0
25288.0	195.0
25288.0	196.0
25288.0	197.0
25288.0	198.0
25288.0	199.0
25288.0	200.0
25288.0	201.0
25288.0	202.0
25288.0	203.0
25288.0	204.0
25288.0	205.0
25288.0	206.0
25288.0	207.0
25288.0	208.0
25288.0	209.0
25288.0	210.0
25288.0	211.0
25288.0	212.0
25288.0	213.0
25288.0	214.0
25288.0	215.0
25288.0	216.0
25288.0	217.0
25288.0	218.0
25288.0	219.0
