error	steps
8502902.5	0.0
8347722.5	1.0
8190816.5	2.0
8002631.5	3.0
7549668.5	4.0
7358798.5	5.0
7008529.5	6.0
6909105.5	7.0
6624274.0	8.0
6325392.0	9.0
5963107.0	10.0
5915869.0	11.0
5772959.0	12.0
5322204.0	13.0
4831597.5	14.0
4831597.5	15.0
4519197.5	16.0
4422813.0	17.0
4225882.0	18.0
4212351.5	19.0
3805625.5	20.0
3707161.0	21.0
3702151.5	22.0
3685621.5	23.0
3635514.5	24.0
3512731.5	25.0
3424257.0	26.0
3338202.0	27.0
3305460.0	28.0
3305460.0	29.0
3278981.0	30.0
3237735.0	31.0
3237735.0	32.0
3235872.0	33.0
3235872.0	34.0
3235872.0	35.0
3225809.0	36.0
3225809.0	37.0
3225809.0	38.0
3225809.0	39.0
3225809.0	40.0
3225809.0	41.0
3126965.5	42.0
3126965.5	43.0
3126965.5	44.0
3084796.5	45.0
3084796.5	46.0
3084796.5	47.0
3083380.5	48.0
3083380.5	49.0
3083380.5	50.0
3083380.5	51.0
3083380.5	52.0
3083380.5	53.0
3074597.5	54.0
3074597.5	55.0
3058913.0	56.0
3054369.0	57.0
3054369.0	58.0
3054369.0	59.0
3054369.0	60.0
3054369.0	61.0
3054369.0	62.0
3054369.0	63.0
3054369.0	64.0
3036260.5	65.0
3036260.5	66.0
3036260.5	67.0
3027310.5	68.0
2994949.5	69.0
2994949.5	70.0
2994949.5	71.0
2994949.5	72.0
2994949.5	73.0
2994949.5	74.0
2994949.5	75.0
2994949.5	76.0
2994949.5	77.0
2994949.5	78.0
2994949.5	79.0
2994949.5	80.0
2994949.5	81.0
2994949.5	82.0
2994949.5	83.0
2994949.5	84.0
2994949.5	85.0
2994949.5	86.0
2994949.5	87.0
2994949.5	88.0
2994949.5	89.0
2994949.5	90.0
2994949.5	91.0
2994949.5	92.0
2994949.5	93.0
2994949.5	94.0
2994949.5	95.0
2994949.5	96.0
2994949.5	97.0
2994949.5	98.0
2994949.5	99.0
2994949.5	100.0
2994949.5	101.0
2994949.5	102.0
2994949.5	103.0
2994949.5	104.0
2994949.5	105.0
2994949.5	106.0
2994949.5	107.0
2994949.5	108.0
2994949.5	109.0
2994949.5	110.0
2994949.5	111.0
2994949.5	112.0
2994949.5	113.0
2994949.5	114.0
2994949.5	115.0
2994949.5	116.0
2994949.5	117.0
2994949.5	118.0
2994949.5	119.0
2994949.5	120.0
2994949.5	121.0
2994949.5	122.0
2994949.5	123.0
2994949.5	124.0
2994949.5	125.0
2994949.5	126.0
2994949.5	127.0
2994949.5	128.0
2994949.5	129.0
2994949.5	130.0
2994949.5	131.0
2994949.5	132.0
2994949.5	133.0
2994949.5	134.0
2994949.5	135.0
2994949.5	136.0
2994949.5	137.0
2994949.5	138.0
2994949.5	139.0
2994949.5	140.0
2994949.5	141.0
2994949.5	142.0
2994949.5	143.0
2994949.5	144.0
2994949.5	145.0
2994949.5	146.0
2994949.5	147.0
2994949.5	148.0
2994949.5	149.0
2994949.5	150.0
2994949.5	151.0
2994949.5	152.0
2994949.5	153.0
2994949.5	154.0
2994949.5	155.0
2994949.5	156.0
2994949.5	157.0
2994949.5	158.0
2994949.5	159.0
2994949.5	160.0
2994949.5	161.0
2994949.5	162.0
2994949.5	163.0
2994949.5	164.0
2994949.5	165.0
2994949.5	166.0
2994949.5	167.0
2994949.5	168.0
2994949.5	169.0
2994949.5	170.0
2994949.5	171.0
2994949.5	172.0
2994949.5	173.0
2994949.5	174.0
2994949.5	175.0
2994949.5	176.0
2994949.5	177.0
2994949.5	178.0
2994949.5	179.0
2994949.5	180.0
2994949.5	181.0
2994949.5	182.0
2994949.5	183.0
2994949.5	184.0
2994949.5	185.0
2994949.5	186.0
2994949.5	187.0
2994949.5	188.0
2994949.5	189.0
2994949.5	190.0
2994949.5	191.0
2994949.5	192.0
2994949.5	193.0
2994949.5	194.0
2994949.5	195.0
2994949.5	196.0
2994949.5	197.0
2994949.5	198.0
2994949.5	199.0
2994949.5	200.0
2994949.5	201.0
2994949.5	202.0
2994949.5	203.0
2994949.5	204.0
2994949.5	205.0
2994949.5	206.0
2994949.5	207.0
2994949.5	208.0
2994949.5	209.0
2994949.5	210.0
2994949.5	211.0
2994949.5	212.0
2994949.5	213.0
2994949.5	214.0
2994949.5	215.0
2994949.5	216.0
2994949.5	217.0
2994949.5	218.0
2994949.5	219.0
2994949.5	220.0
2994949.5	221.0
2994949.5	222.0
2994949.5	223.0
