"","","",""
"TABLE 1","","",""
"","","",""
"","model","accuracy","f1"
"0","resnet","0.9206 ± ( 0.0078 )","0.9226 ± ( 0.0075 )"
"1","catboost","0.8925 ± ( 0.0008 )","0.8919 ± ( 0.0008 )"
"2","gandalf","0.8790 ± ( 0.0175 )","0.8824 ± ( 0.0166 )"
"3","s1dcnn","0.8740 ± ( 0.0511 )","0.8784 ± ( 0.0478 )"
"4","xgb","0.8690 ± ( 0.0004 )","0.8684 ± ( 0.0005 )"
"5","mlp","0.8581 ± ( 0.0031 )","0.8564 ± ( 0.0033 )"
"6","categoryembedding","0.7420 ± ( 0.0535 )","0.7546 ± ( 0.0487 )"
"7","gate","0.6800 ± ( 0.0349 )","0.6979 ± ( 0.0306 )"
"8","tabtransformer","0.5921 ± ( 0.0283 )","0.6222 ± ( 0.0220 )"
"9","tabnet","0.5911 ± ( 0.1199 )","0.5734 ± ( 0.1925 )"
"10","fttransformer","0.4669 ± ( 0.2871 )","0.3968 ± ( 0.3339 )"
"11","autoint","0.2427 ± ( 0.2367 )","0.1895 ± ( 0.2429 )"
