,model,accuracy,roc_auc,lift,f1,recall,precision,area_under_pr
0,node,0.9196 ± (0.0368),0.9559 ± (0.0277),5.1878 ± (0.4067),0.7967 ± (0.0933),0.8883 ± (0.0871),0.7270 ± (0.1176),0.8587 ± (0.0827)
1,catboost,0.9357 ± (0.0159),0.9636 ± (0.0253),5.4704 ± (0.1718),0.7960 ± (0.0504),0.7229 ± (0.0550),0.8867 ± (0.0496),0.8915 ± (0.0529)
2,xgb,0.9357 ± (0.0144),0.9625 ± (0.0304),5.3757 ± (0.3391),0.7913 ± (0.0572),0.7117 ± (0.0794),0.8988 ± (0.0607),0.8868 ± (0.0827)
3,gandalf,0.9116 ± (0.0264),0.9419 ± (0.0184),5.0939 ± (0.5412),0.7706 ± (0.0628),0.8429 ± (0.0363),0.7115 ± (0.0828),0.8143 ± (0.0692)
4,s1dcnn,0.9051 ± (0.0251),0.9270 ± (0.0321),4.6122 ± (0.4308),0.7316 ± (0.0674),0.7411 ± (0.0606),0.7228 ± (0.0752),0.7287 ± (0.0970)
5,mlp,0.9131 ± (0.0237),0.9237 ± (0.0155),5.0902 ± (0.6648),0.7269 ± (0.0830),0.6771 ± (0.1094),0.7952 ± (0.0684),0.8040 ± (0.0767)
6,autoint,0.8940 ± (0.0282),0.9157 ± (0.0306),4.6167 ± (0.4754),0.7251 ± (0.0657),0.7970 ± (0.0599),0.6680 ± (0.0810),0.7525 ± (0.0583)
7,categoryembedding,0.8892 ± (0.0353),0.9174 ± (0.0410),4.6204 ± (0.7371),0.7234 ± (0.0604),0.8156 ± (0.0562),0.6579 ± (0.0909),0.7434 ± (0.0915)
8,gate,0.8976 ± (0.0436),0.9260 ± (0.0476),4.8250 ± (0.4475),0.7233 ± (0.1096),0.7684 ± (0.1305),0.6938 ± (0.1199),0.8063 ± (0.0836)
9,fttransformer,0.8908 ± (0.0340),0.9151 ± (0.0642),4.8098 ± (0.7421),0.7205 ± (0.0842),0.8074 ± (0.1075),0.6545 ± (0.0833),0.7900 ± (0.1006)
10,tabtransformer,0.8778 ± (0.0117),0.8951 ± (0.0280),4.3222 ± (0.4471),0.7009 ± (0.0260),0.8242 ± (0.0333),0.6100 ± (0.0247),0.6997 ± (0.0805)
11,tabnet,0.8521 ± (0.0542),0.8751 ± (0.0360),4.0411 ± (0.8284),0.6508 ± (0.0904),0.7584 ± (0.0397),0.5826 ± (0.1341),0.6477 ± (0.0936)
