,model,accuracy,roc_auc,lift,f1,recall,precision,area_under_pr
0,gate,0.99 ± (0.01),1.00 ± (0.01),1.59 ± (0.01),0.99 ± (0.01),1.00 ± (0.01),0.99 ± (0.01),1.00 ± (0.01)
1,node,0.99 ± (0.01),0.99 ± (0.01),1.59 ± (0.01),0.99 ± (0.01),0.99 ± (0.01),0.98 ± (0.02),1.00 ± (0.00)
2,gandalf,0.99 ± (0.01),1.00 ± (0.01),1.59 ± (0.01),0.99 ± (0.01),0.99 ± (0.01),0.98 ± (0.02),1.00 ± (0.00)
3,fttransformer,0.99 ± (0.01),1.00 ± (0.01),1.59 ± (0.01),0.99 ± (0.01),0.99 ± (0.01),0.99 ± (0.01),1.00 ± (0.00)
4,categoryembedding,0.99 ± (0.01),1.00 ± (0.00),1.59 ± (0.01),0.99 ± (0.01),0.99 ± (0.01),0.99 ± (0.01),1.00 ± (0.00)
5,tabtransformer,0.98 ± (0.01),1.00 ± (0.00),1.59 ± (0.01),0.99 ± (0.01),0.99 ± (0.01),0.98 ± (0.01),1.00 ± (0.00)
6,mlp,0.98 ± (0.01),1.00 ± (0.00),1.59 ± (0.01),0.98 ± (0.01),0.99 ± (0.01),0.98 ± (0.01),1.00 ± (0.00)
7,autoint,0.98 ± (0.01),0.99 ± (0.01),1.59 ± (0.01),0.98 ± (0.01),0.99 ± (0.01),0.98 ± (0.01),1.00 ± (0.00)
8,s1dcnn,0.98 ± (0.01),1.00 ± (0.00),1.59 ± (0.01),0.98 ± (0.01),0.99 ± (0.02),0.98 ± (0.02),1.00 ± (0.00)
9,tabnet,0.97 ± (0.01),0.99 ± (0.01),1.59 ± (0.01),0.98 ± (0.01),0.98 ± (0.01),0.98 ± (0.01),0.99 ± (0.01)
10,catboost,0.97 ± (0.01),1.00 ± (0.01),1.59 ± (0.01),0.98 ± (0.01),0.99 ± (0.02),0.97 ± (0.02),1.00 ± (0.00)
11,resnet,0.97 ± (0.02),0.99 ± (0.01),1.59 ± (0.01),0.98 ± (0.01),0.98 ± (0.02),0.97 ± (0.03),0.99 ± (0.01)
12,xgb,0.96 ± (0.01),0.99 ± (0.01),1.59 ± (0.01),0.97 ± (0.01),0.97 ± (0.01),0.97 ± (0.02),0.99 ± (0.00)
