,model,accuracy,roc_auc,lift,f1,recall,precision,area_under_pr
0,gandalf,97.00 ± (1.42),98.79 ± (0.13),96.97 ± (0.82),12.55 ± (6.93),92.57 ± (0.46),6.90 ± (4.11),73.59 ± (2.43)
1,categoryembedding,96.82 ± (1.05),98.61 ± (0.61),96.95 ± (1.29),9.84 ± (2.55),92.07 ± (2.38),5.22 ± (1.42),73.62 ± (4.33)
2,xgb,99.96 ± (0.01),98.55 ± (0.70),96.75 ± (2.27),85.83 ± (2.26),78.87 ± (2.69),94.19 ± (2.35),85.23 ± (2.54)
3,catboost,99.96 ± (0.01),98.47 ± (0.93),96.55 ± (1.64),86.66 ± (2.01),79.28 ± (2.54),95.63 ± (2.47),86.26 ± (1.93)
4,node,98.15 ± (1.04),98.32 ± (0.57),95.73 ± (1.50),16.87 ± (5.41),90.04 ± (1.76),9.41 ± (3.22),72.89 ± (6.37)
5,autoint,97.22 ± (0.92),98.51 ± (0.56),95.53 ± (1.89),11.09 ± (3.21),90.86 ± (3.46),5.95 ± (1.85),74.39 ± (1.73)
6,mlp,99.94 ± (0.01),97.81 ± (0.63),94.51 ± (1.90),81.77 ± (1.73),77.85 ± (1.66),86.20 ± (3.27),79.65 ± (4.09)
7,resnet,99.83 ± (0.00),96.09 ± (0.93),91.23 ± (1.87),0.00 ± (0.00),0.00 ± (0.00),0.00 ± (0.00),48.46 ± (6.91)
8,tabtransformer,75.47 ± (26.81),93.30 ± (6.34),89.81 ± (7.99),7.49 ± (6.77),89.22 ± (3.47),4.05 ± (3.76),61.81 ± (6.64)
9,tabnet,78.45 ± (39.13),93.76 ± (4.21),87.59 ± (7.45),11.18 ± (7.04),85.93 ± (10.52),6.16 ± (4.03),42.52 ± (20.06)
