,model,accuracy,roc_auc,lift,f1,recall,precision,area_under_pr
0,catboost,0.72 ± (0.01),0.80 ± (0.01),1.74 ± (0.02),0.74 ± (0.00),0.77 ± (0.01),0.72 ± (0.01),0.80 ± (0.01)
1,node,0.72 ± (0.00),0.80 ± (0.00),1.73 ± (0.03),0.72 ± (0.01),0.70 ± (0.02),0.74 ± (0.00),0.80 ± (0.01)
2,xgb,0.73 ± (0.01),0.80 ± (0.01),1.73 ± (0.04),0.75 ± (0.00),0.78 ± (0.01),0.72 ± (0.01),0.79 ± (0.01)
3,autoint,0.72 ± (0.01),0.80 ± (0.00),1.72 ± (0.03),0.74 ± (0.01),0.74 ± (0.01),0.73 ± (0.01),0.79 ± (0.01)
4,gandalf,0.73 ± (0.01),0.79 ± (0.01),1.72 ± (0.03),0.74 ± (0.00),0.76 ± (0.01),0.73 ± (0.01),0.79 ± (0.01)
5,s1dcnn,0.69 ± (0.01),0.79 ± (0.01),1.71 ± (0.02),0.66 ± (0.02),0.57 ± (0.03),0.78 ± (0.01),0.79 ± (0.00)
6,categoryembedding,0.71 ± (0.01),0.79 ± (0.00),1.71 ± (0.02),0.72 ± (0.01),0.70 ± (0.04),0.74 ± (0.01),0.79 ± (0.01)
7,tabnet,0.72 ± (0.01),0.79 ± (0.00),1.70 ± (0.02),0.74 ± (0.01),0.74 ± (0.04),0.73 ± (0.01),0.79 ± (0.00)
8,mlp,0.72 ± (0.01),0.79 ± (0.01),1.70 ± (0.02),0.74 ± (0.01),0.77 ± (0.03),0.72 ± (0.01),0.79 ± (0.01)
9,gate,0.72 ± (0.01),0.79 ± (0.01),1.70 ± (0.02),0.73 ± (0.00),0.74 ± (0.01),0.73 ± (0.01),0.79 ± (0.01)
10,tabtransformer,0.71 ± (0.01),0.78 ± (0.01),1.69 ± (0.03),0.73 ± (0.01),0.73 ± (0.03),0.73 ± (0.01),0.78 ± (0.01)
