,model,accuracy,roc_auc,lift,f1,recall,precision,area_under_pr
0,xgb,83.16 ± (2.57),88.65 ± (2.70),25.45 ± (1.35),76.54 ± (3.70),71.64 ± (4.29),82.31 ± (4.49),85.80 ± (3.16)
1,catboost,81.82 ± (2.91),88.37 ± (2.12),24.83 ± (0.69),74.76 ± (4.56),70.46 ± (5.47),79.70 ± (3.54),85.23 ± (2.32)
2,node,82.16 ± (2.62),88.17 ± (2.19),25.44 ± (0.82),77.04 ± (3.49),78.06 ± (4.60),76.26 ± (4.52),85.50 ± (2.07)
3,fttransformer,81.70 ± (2.02),87.88 ± (2.45),25.44 ± (0.82),76.06 ± (3.13),76.00 ± (4.90),76.30 ± (2.78),85.67 ± (2.40)
4,categoryembedding,81.14 ± (1.82),87.84 ± (2.70),25.75 ± (0.68),75.67 ± (2.66),76.59 ± (4.14),74.89 ± (2.58),85.84 ± (2.27)
5,gandalf,80.92 ± (2.53),87.69 ± (2.24),24.53 ± (1.08),75.45 ± (3.59),76.58 ± (4.66),74.42 ± (3.18),84.86 ± (2.35)
6,tabnet,79.23 ± (1.69),86.87 ± (2.23),25.45 ± (0.90),72.96 ± (2.06),73.38 ± (8.36),73.90 ± (6.64),83.88 ± (1.30)
7,gate,81.14 ± (2.01),86.82 ± (2.77),24.83 ± (0.69),75.57 ± (3.18),76.29 ± (4.62),74.93 ± (1.88),84.00 ± (3.04)
8,autoint,79.68 ± (1.36),86.72 ± (1.94),25.44 ± (0.82),74.76 ± (1.40),78.35 ± (2.44),71.60 ± (2.75),84.36 ± (2.26)
9,resnet,80.92 ± (2.05),86.16 ± (1.57),25.44 ± (0.76),71.33 ± (3.98),62.30 ± (6.29),84.44 ± (5.43),83.83 ± (1.87)
10,s1dcnn,81.37 ± (3.10),85.95 ± (2.28),24.83 ± (0.69),73.47 ± (4.45),67.25 ± (4.79),81.24 ± (6.02),82.97 ± (2.55)
11,mlp,82.38 ± (2.82),85.90 ± (0.44),25.13 ± (0.71),75.25 ± (3.35),69.59 ± (3.71),82.45 ± (7.10),84.13 ± (2.05)
12,tabtransformer,78.79 ± (2.01),85.56 ± (1.56),25.14 ± (1.34),71.62 ± (3.42),70.14 ± (6.45),73.61 ± (3.54),82.69 ± (1.34)
