run_id,run_config,dataset,model,execution_mode,eval_metric,best_params,best_score,score_std,output_metrics,saved_model_path,run_time
202310-0913-1543-d8529bd0-1140-4a7a-9806-8387a4e91329,"{'dataset': 'iris', 'model': 'catboost', 'best_params': {}, 'param_grid': {'iterations': [200, 4000], 'learning_rate': [0.001, 0.1], 'depth': [4, 10], 'l2_leaf_reg': [0.5, 5.0], 'min_child_samples': [1, 100], 'bagging_temperature': [0.1, 2.0]}}",iris,catboost,hyperopt_kfold,accuracy,"{'bagging_temperature': 0.14161684015220416, 'depth': 7, 'iterations': 2890, 'l2_leaf_reg': 1.5026055453331348, 'learning_rate': 0.0012464158759539635, 'min_child_samples': 67, 'outer_params': {'hyperopt_evals': 50, 'validation_fraction': 0.15, 'early_stopping_rounds': 50, 'verbose': False}}",0.9600000000000002,0.038873012632301994,"{'accuracy': [1.0, 0.9666666666666667, 0.9333333333333333, 1.0, 0.9], 'f1': [1.0, 0.9665831244778613, 0.9326599326599326, 1.0, 0.8997493734335841]}",./output/modelsaves/iris/catboost/202310-0913-1543-d8529bd0-1140-4a7a-9806-8387a4e91329//202310-0913-1543-d8529bd0-1140-4a7a-9806-8387a4e91329,316.4541051387787
202310-0913-2100-b4dd1a12-1bce-4456-9702-049b53823dc1,"{'dataset': 'titanic', 'model': 'catboost', 'best_params': {}, 'param_grid': {'iterations': [200, 4000], 'learning_rate': [0.001, 0.1], 'depth': [4, 10], 'l2_leaf_reg': [0.5, 5.0], 'min_child_samples': [1, 100], 'bagging_temperature': [0.1, 2.0]}}",titanic,catboost,hyperopt_kfold,roc_auc,"{'bagging_temperature': 1.9270989577352229, 'depth': 6, 'iterations': 2932, 'l2_leaf_reg': 0.5841035192283774, 'learning_rate': 0.09439930746752542, 'min_child_samples': 43, 'outer_params': {'hyperopt_evals': 50, 'validation_fraction': 0.15, 'early_stopping_rounds': 50, 'verbose': False}}",0.8836935528825883,0.021153876613135128,"{'recall': [0.7101449275362319, 0.7647058823529411, 0.6029411764705882, 0.7352941176470589, 0.7101449275362319], 'precision': [0.8305084745762712, 0.8253968253968254, 0.7321428571428571, 0.8064516129032258, 0.7903225806451613], 'accuracy': [0.8324022346368715, 0.848314606741573, 0.7640449438202247, 0.8314606741573034, 0.8146067415730337], 'f1': [0.7656250000000001, 0.7938931297709922, 0.6612903225806451, 0.7692307692307693, 0.7480916030534351], 'roc_auc': [0.9110013175230566, 0.8871657754010694, 0.8462566844919786, 0.8923128342245988, 0.8817311527722378], 'area_under_pr': [0.8682343142501084, 0.8368105572982717, 0.8161698506441898, 0.8816774582931126, 0.8586514138703502], 'lift': [2.441602728047741, 2.463667820069204, 2.463667820069204, 2.6176470588235294, 2.4279624893435634]}",./output/modelsaves/titanic/catboost/202310-0913-2100-b4dd1a12-1bce-4456-9702-049b53823dc1//202310-0913-2100-b4dd1a12-1bce-4456-9702-049b53823dc1,378.460816860199
202310-0913-2718-f69427e8-d0a0-433c-9ffd-9a297b36adac,"{'dataset': 'breastcancer', 'model': 'catboost', 'best_params': {}, 'param_grid': {'iterations': [200, 4000], 'learning_rate': [0.001, 0.1], 'depth': [4, 10], 'l2_leaf_reg': [0.5, 5.0], 'min_child_samples': [1, 100], 'bagging_temperature': [0.1, 2.0]}}",breastcancer,catboost,hyperopt_kfold,f1,"{'bagging_temperature': 0.9928196516799518, 'depth': 4, 'iterations': 3832, 'l2_leaf_reg': 1.6892173684593075, 'learning_rate': 0.05673035133721847, 'min_child_samples': 97, 'outer_params': {'hyperopt_evals': 50, 'validation_fraction': 0.15, 'early_stopping_rounds': 50, 'verbose': False}}",0.9778494645214051,0.010898157836217297,"{'recall': [1.0, 0.9859154929577465, 1.0, 0.9583333333333334, 0.9859154929577465], 'precision': [0.9861111111111112, 0.9333333333333333, 0.96, 1.0, 0.9722222222222222], 'accuracy': [0.9912280701754386, 0.9473684210526315, 0.9736842105263158, 0.9736842105263158, 0.9734513274336283], 'f1': [0.993006993006993, 0.9589041095890412, 0.9795918367346939, 0.9787234042553191, 0.979020979020979], 'roc_auc': [0.9993449066491975, 0.9934490664919751, 0.9857804232804233, 1.0, 0.9979879275653923], 'area_under_pr': [0.9996060085080121, 0.9961513760001102, 0.989678170148699, 1.0, 0.9988032941186187], 'lift': [1.6056338028169013, 1.6056338028169013, 1.5833333333333335, 1.5833333333333335, 1.591549295774648]}",./output/modelsaves/breastcancer/catboost/202310-0913-2718-f69427e8-d0a0-433c-9ffd-9a297b36adac//202310-0913-2718-f69427e8-d0a0-433c-9ffd-9a297b36adac,1247.8069279193878
202310-0913-5101-7bdf8be6-c177-424b-b52e-2b0f7d48b099,"{'dataset': 'ageconditions', 'model': 'catboost', 'best_params': {}, 'param_grid': {'iterations': [200, 4000], 'learning_rate': [0.001, 0.1], 'depth': [4, 10], 'l2_leaf_reg': [0.5, 5.0], 'min_child_samples': [1, 100], 'bagging_temperature': [0.1, 2.0]}}",ageconditions,catboost,hyperopt_kfold,f1,"{'bagging_temperature': 0.14228166126511824, 'depth': 5, 'iterations': 1047, 'l2_leaf_reg': 1.4054889582047796, 'learning_rate': 0.008231059874437023, 'min_child_samples': 58, 'outer_params': {'hyperopt_evals': 50, 'validation_fraction': 0.15, 'early_stopping_rounds': 50, 'verbose': False}}",0.796043579868997,0.05043997440325303,"{'recall': [0.6363636363636364, 0.7272727272727273, 0.7272727272727273, 0.7142857142857143, 0.8095238095238095], 'precision': [0.8235294117647058, 0.8421052631578947, 0.9411764705882353, 0.8823529411764706, 0.9444444444444444], 'accuracy': [0.912, 0.928, 0.9435483870967742, 0.9354838709677419, 0.9596774193548387], 'f1': [0.717948717948718, 0.7804878048780488, 0.8205128205128205, 0.7894736842105262, 0.8717948717948718], 'roc_auc': [0.9801412180052957, 0.939541041482789, 0.983065953654189, 0.9269533055940822, 0.9884419787332409], 'area_under_pr': [0.8957697773431414, 0.8792300715268138, 0.9403353514655455, 0.7982725043290424, 0.9438481871503765], 'lift': [5.208333333333333, 5.6818181818181825, 5.636363636363636, 5.412698412698413, 5.412698412698413]}",./output/modelsaves/ageconditions/catboost/202310-0913-5101-7bdf8be6-c177-424b-b52e-2b0f7d48b099//202310-0913-5101-7bdf8be6-c177-424b-b52e-2b0f7d48b099,1949.837218761444
202310-0914-2330-519f04b9-a6a5-4b91-8040-21bf344da446,"{'dataset': 'housing', 'model': 'catboost', 'best_params': {}, 'param_grid': {'iterations': [200, 3000], 'learning_rate': [0.001, 0.1], 'depth': [4, 10], 'l2_leaf_reg': [0.5, 5.0], 'min_child_samples': [1, 100], 'bagging_temperature': [0.1, 2.0]}}",housing,catboost,hyperopt_kfold,r2_score,"{'bagging_temperature': 0.2518874209581551, 'depth': 6, 'iterations': 2628, 'l2_leaf_reg': 3.1596960622691075, 'learning_rate': 0.07548534949064327, 'min_child_samples': 2, 'outer_params': {'hyperopt_evals': 50, 'validation_fraction': 0.15, 'early_stopping_rounds': 50, 'verbose': False}}",0.8643339522181556,0.005859118736891047,"{'mse': [0.1809707564876559, 0.1794489257284938, 0.18656527025486608, 0.1690365888697555, 0.18663862518596908], 'rmse': [0.4254065778612925, 0.42361412361782014, 0.4319320204093071, 0.41114059501556827, 0.4320169269669524], 'r2_score': [0.8618974995649129, 0.8686408698272224, 0.8566042876356028, 0.873190089652697, 0.8613370144103425]}",./output/modelsaves/housing/catboost/202310-0914-2330-519f04b9-a6a5-4b91-8040-21bf344da446//202310-0914-2330-519f04b9-a6a5-4b91-8040-21bf344da446,1448.4474880695343
202310-0914-4739-df60be3d-3e74-441c-a1be-d020434ccafb,"{'dataset': 'heloc', 'model': 'catboost', 'best_params': {}, 'param_grid': {'iterations': [200, 3000], 'learning_rate': [0.001, 0.1], 'depth': [4, 10], 'l2_leaf_reg': [0.5, 5.0], 'min_child_samples': [1, 100], 'bagging_temperature': [0.1, 2.0]}}",heloc,catboost,hyperopt_kfold,lift,"{'bagging_temperature': 0.10092833200123712, 'depth': 9, 'iterations': 1619, 'l2_leaf_reg': 1.6940429042188316, 'learning_rate': 0.022840836438434018, 'min_child_samples': 87, 'outer_params': {'hyperopt_evals': 50, 'validation_fraction': 0.15, 'early_stopping_rounds': 50, 'verbose': False}}",1.7380794515436804,0.020744735145788902,"{'recall': [0.7646520146520146, 0.7710622710622711, 0.7838827838827839, 0.7783882783882784, 0.7717690192483959], 'precision': [0.722318339100346, 0.7190435525192144, 0.7133333333333334, 0.700164744645799, 0.7328111401218451], 'accuracy': [0.7237093690248566, 0.7232313575525813, 0.722753346080306, 0.7103250478011472, 0.7340985174557628], 'f1': [0.7428825622775801, 0.7441449403446753, 0.7469458987783597, 0.7372072853425846, 0.7517857142857143], 'roc_auc': [0.7994761904761905, 0.7913076923076923, 0.7953553113553113, 0.7948782051282053, 0.8094133822181484], 'area_under_pr': [0.7992924238329239, 0.7874884528781249, 0.7860136815549479, 0.8011317771999326, 0.8069167580414109], 'lift': [1.7415917415917415, 1.7140929246192402, 1.7140929246192402, 1.7599242862400757, 1.760695380648104]}",./output/modelsaves/heloc/catboost/202310-0914-4739-df60be3d-3e74-441c-a1be-d020434ccafb//202310-0914-4739-df60be3d-3e74-441c-a1be-d020434ccafb,611.7427039146423
202310-1012-5004-01bae7b1-a0a2-4ae6-a1e9-166b8861d5d9,"{'dataset': 'iris', 'model': 'catboost', 'best_params': {}, 'param_grid': {'iterations': [50, 1000], 'learning_rate': [0.001, 0.1], 'depth': [4, 12], 'l2_leaf_reg': [0.5, 5.0], 'min_child_samples': [1, 10], 'bagging_temperature': [0.1, 2.0]}}",iris,catboost,hyperopt_kfold,accuracy,"{'bagging_temperature': 0.14228166126511824, 'depth': 6, 'iterations': 262, 'l2_leaf_reg': 1.4054889582047796, 'learning_rate': 0.008231059874437023, 'min_child_samples': 6, 'outer_params': {'hyperopt_evals': 50, 'validation_fraction': 0.15, 'early_stopping_rounds': 100, 'verbose': False}}",0.9600000000000002,0.038873012632301994,"{'accuracy': [1.0, 0.9666666666666667, 0.9333333333333333, 1.0, 0.9], 'f1': [1.0, 0.9665831244778613, 0.9326599326599326, 1.0, 0.8997493734335841]}",./output/modelsaves/iris/catboost/202310-1012-5004-01bae7b1-a0a2-4ae6-a1e9-166b8861d5d9//202310-1012-5004-01bae7b1-a0a2-4ae6-a1e9-166b8861d5d9,134.4465639591217
202310-1012-5218-6430a85d-ca3a-42c6-ab0b-3be660d9486c,"{'dataset': 'breastcancer', 'model': 'catboost', 'best_params': {}, 'param_grid': {'iterations': [50, 1000], 'learning_rate': [0.001, 0.1], 'depth': [4, 12], 'l2_leaf_reg': [0.5, 5.0], 'min_child_samples': [1, 10], 'bagging_temperature': [0.1, 2.0]}}",breastcancer,catboost,hyperopt_kfold,f1,"{'bagging_temperature': 0.9928196516799518, 'depth': 4, 'iterations': 958, 'l2_leaf_reg': 1.6892173684593075, 'learning_rate': 0.05673035133721847, 'min_child_samples': 10, 'outer_params': {'hyperopt_evals': 50, 'validation_fraction': 0.15, 'early_stopping_rounds': 100, 'verbose': False}}",0.9778494645214051,0.010898157836217297,"{'recall': [1.0, 0.9859154929577465, 1.0, 0.9583333333333334, 0.9859154929577465], 'precision': [0.9861111111111112, 0.9333333333333333, 0.96, 1.0, 0.9722222222222222], 'accuracy': [0.9912280701754386, 0.9473684210526315, 0.9736842105263158, 0.9736842105263158, 0.9734513274336283], 'f1': [0.993006993006993, 0.9589041095890412, 0.9795918367346939, 0.9787234042553191, 0.979020979020979], 'roc_auc': [0.9993449066491975, 0.9934490664919751, 0.9857804232804233, 1.0, 0.9979879275653923], 'area_under_pr': [0.9996060085080121, 0.9961513760001102, 0.989678170148699, 1.0, 0.9988032941186187], 'lift': [1.6056338028169013, 1.6056338028169013, 1.5833333333333335, 1.5833333333333335, 1.591549295774648]}",./output/modelsaves/breastcancer/catboost/202310-1012-5218-6430a85d-ca3a-42c6-ab0b-3be660d9486c//202310-1012-5218-6430a85d-ca3a-42c6-ab0b-3be660d9486c,2292.853511095047
202310-1013-3031-09fc2b37-d53b-43f7-b477-c5f0eb5fdf50,"{'dataset': 'iris', 'model': 'xgb', 'best_params': {}, 'param_grid': {'n_estimators': [100, 1000], 'max_bin': [128, 32], 'tree_method': ['auto', 'hist'], 'max_depth': [4, 12], 'learning_rate': [0.1, 0.33], 'subsample': [0.9, 1.0], 'colsample_bytree': [0.8, 1.0], 'min_child_weight': [1, 10], 'alpha': [0.0, 5.0], 'gamma': [0.0, 5.0], 'lambda': [0.0, 5.0]}}",iris,xgb,hyperopt_kfold,accuracy,"{'alpha': 2.9698529989450178, 'colsample_bytree': 0.9797301055762344, 'gamma': 0.011988357458747378, 'lambda': 2.8639961165915446, 'learning_rate': 0.1942847593149101, 'max_bin': 63, 'max_depth': 7, 'min_child_weight': 2, 'n_estimators': 465, 'subsample': 0.999215752536224, 'tree_method': 'auto', 'outer_params': {'hyperopt_evals': 50, 'validation_fraction': 0.15, 'early_stopping_rounds': 100, 'verbose': False}}",0.9733333333333334,0.02494438257849294,"{'accuracy': [1.0, 0.9666666666666667, 0.9333333333333333, 1.0, 0.9666666666666667], 'f1': [1.0, 0.9665831244778613, 0.9326599326599326, 1.0, 0.9665831244778613]}",./output/modelsaves/iris/xgb/202310-1013-3031-09fc2b37-d53b-43f7-b477-c5f0eb5fdf50//202310-1013-3031-09fc2b37-d53b-43f7-b477-c5f0eb5fdf50,29.13872790336609
202310-1013-3100-95ae27ab-3a5e-4c2c-99e2-1c45a2553ef6,"{'dataset': 'breastcancer', 'model': 'xgb', 'best_params': {}, 'param_grid': {'n_estimators': [100, 1000], 'max_bin': [128, 32], 'tree_method': ['auto', 'hist'], 'max_depth': [4, 12], 'learning_rate': [0.1, 0.33], 'subsample': [0.9, 1.0], 'colsample_bytree': [0.8, 1.0], 'min_child_weight': [1, 10], 'alpha': [0.0, 5.0], 'gamma': [0.0, 5.0], 'lambda': [0.0, 5.0]}}",breastcancer,xgb,hyperopt_kfold,f1,"{'alpha': 1.1985226600140277, 'colsample_bytree': 0.9139910048831039, 'gamma': 1.173412645836684, 'lambda': 4.362079992679666, 'learning_rate': 0.27524927784745207, 'max_bin': 91, 'max_depth': 11, 'min_child_weight': 2, 'n_estimators': 469, 'subsample': 0.9197785508359548, 'tree_method': 'auto', 'outer_params': {'hyperopt_evals': 50, 'validation_fraction': 0.15, 'early_stopping_rounds': 100, 'verbose': False}}",0.9694206980100193,0.009203173336373802,"{'recall': [0.971830985915493, 0.971830985915493, 0.9861111111111112, 0.9583333333333334, 0.9859154929577465], 'precision': [0.9857142857142858, 0.9324324324324325, 0.9594594594594594, 0.9857142857142858, 0.958904109589041], 'accuracy': [0.9736842105263158, 0.9385964912280702, 0.9649122807017544, 0.9649122807017544, 0.9646017699115044], 'f1': [0.9787234042553192, 0.9517241379310345, 0.9726027397260274, 0.971830985915493, 0.9722222222222222], 'roc_auc': [0.9970520799213888, 0.9867343596462497, 0.9884259259259259, 0.9976851851851852, 0.9889336016096579], 'area_under_pr': [0.998298802072208, 0.9919705141079349, 0.9919490142107384, 0.9986321559274999, 0.9925203298722862], 'lift': [1.6056338028169013, 1.6056338028169013, 1.5833333333333335, 1.5833333333333335, 1.591549295774648]}",./output/modelsaves/breastcancer/xgb/202310-1013-3100-95ae27ab-3a5e-4c2c-99e2-1c45a2553ef6//202310-1013-3100-95ae27ab-3a5e-4c2c-99e2-1c45a2553ef6,55.840697050094604
